"","phy_id","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","model"
"1",1,0,0.07,-0.15,0,0.14,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"2",2,0,0.02,-0.05,0,0.05,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"3",3,-0.02,0.13,-0.32,-0.01,0.25,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"4",4,0.01,0.08,-0.16,0,0.18,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"5",5,0.01,0.08,-0.16,0,0.18,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"6",6,0.01,0.08,-0.16,0,0.18,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"7",7,-0.06,0.11,-0.31,-0.05,0.14,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"8",8,-0.06,0.11,-0.3,-0.05,0.14,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"9",9,-0.06,0.11,-0.3,-0.05,0.14,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"10",10,-0.06,0.11,-0.3,-0.05,0.14,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"11",11,-0.06,0.11,-0.3,-0.05,0.14,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"12",12,-0.06,0.11,-0.3,-0.05,0.14,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"13",13,-0.06,0.11,-0.3,-0.05,0.15,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"14",14,-0.06,0.11,-0.3,-0.04,0.15,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"15",15,-0.06,0.11,-0.3,-0.05,0.14,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"16",16,-0.06,0.11,-0.3,-0.05,0.14,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"17",17,-0.06,0.11,-0.3,-0.05,0.14,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"18",18,-0.06,0.11,-0.3,-0.05,0.14,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"19",19,-0.06,0.11,-0.31,-0.05,0.15,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"20",20,-0.06,0.11,-0.3,-0.05,0.14,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"21",21,-0.06,0.11,-0.31,-0.05,0.15,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"22",22,-0.06,0.11,-0.31,-0.05,0.15,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"23",23,-0.06,0.12,-0.31,-0.05,0.15,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"24",24,-0.06,0.12,-0.31,-0.04,0.16,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"25",25,-0.06,0.11,-0.3,-0.05,0.14,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"26",26,-0.06,0.11,-0.31,-0.04,0.16,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"27",27,-0.06,0.11,-0.3,-0.04,0.15,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"28",28,-0.06,0.11,-0.31,-0.04,0.16,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"29",29,-0.06,0.11,-0.3,-0.05,0.14,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"30",30,-0.06,0.11,-0.31,-0.05,0.15,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"31",31,-0.06,0.11,-0.3,-0.05,0.14,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"32",32,-0.06,0.11,-0.3,-0.05,0.14,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"33",33,-0.06,0.11,-0.3,-0.05,0.14,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"34",34,-0.06,0.11,-0.3,-0.05,0.14,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"35",35,-0.06,0.12,-0.32,-0.05,0.16,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"36",36,-0.07,0.12,-0.33,-0.05,0.15,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"37",37,-0.06,0.11,-0.3,-0.05,0.14,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"38",38,-0.06,0.12,-0.31,-0.05,0.16,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"39",39,-0.06,0.12,-0.32,-0.04,0.16,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"40",40,-0.06,0.11,-0.31,-0.05,0.15,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"41",41,0.01,0.08,-0.16,0,0.18,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"42",42,0.01,0.08,-0.16,0,0.18,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"43",43,0.01,0.18,-0.35,0.01,0.39,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"44",44,0.01,0.18,-0.36,0.01,0.4,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"45",45,0.01,0.18,-0.35,0.01,0.39,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"46",46,0.01,0.18,-0.35,0.01,0.39,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"47",47,0.01,0.18,-0.35,0.01,0.39,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"48",48,0.02,0.18,-0.36,0.01,0.41,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"49",49,0.01,0.18,-0.36,0.01,0.39,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"50",50,0.01,0.18,-0.37,0.01,0.39,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"51",51,0.01,0.08,-0.17,0,0.19,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"52",52,0.01,0.1,-0.19,0,0.21,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"53",53,0.04,0.2,-0.34,0.03,0.48,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"54",54,0.04,0.2,-0.35,0.03,0.48,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"55",55,0.04,0.2,-0.35,0.03,0.48,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"56",56,0.04,0.2,-0.36,0.03,0.48,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"57",57,0.05,0.2,-0.35,0.03,0.5,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"58",58,0,0.12,-0.25,0,0.25,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"59",59,-0.09,0.22,-0.6,-0.06,0.3,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"60",60,-0.1,0.23,-0.62,-0.06,0.3,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"61",61,-0.1,0.23,-0.63,-0.06,0.3,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"62",62,0.02,0.14,-0.26,0.01,0.33,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"63",63,0.01,0.1,-0.21,0,0.23,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"64",64,0.04,0.18,-0.32,0.02,0.45,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"65",65,0.07,0.22,-0.35,0.04,0.57,0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"66",66,0.07,0.22,-0.35,0.04,0.57,0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"67",67,-0.01,0.17,-0.38,-0.01,0.33,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"68",68,0.01,0.08,-0.17,0.01,0.19,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"69",69,-0.02,0.12,-0.27,-0.01,0.22,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
