"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1.45,1.67,1.95,1830.25,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.29,0.36,0.42,1830.25,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",-0.17,-0.01,0.15,1830.25,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.04,1830.25,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,1830.25,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+L1 speakers (linear)",1.46,1.68,1.95,1832.2,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.29,0.35,0.42,1832.2,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.03,-0.01,0.02,1832.2,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.04,0.09,0.14,1832.2,"L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1.45,1.67,1.95,1833.31,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.29,0.36,0.42,1833.31,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",-0.02,0,0.03,1833.31,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.03,1833.31,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1.45,1.68,1.95,1834.44,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.29,0.35,0.42,1834.44,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.03,-0.01,0.02,1834.44,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.04,0.09,0.14,1834.44,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.37,-0.03,0.31,1834.44,"L2 proportion"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",1.44,1.67,1.94,1857.65,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.29,0.35,0.42,1857.65,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",-0.16,0,0.16,1857.65,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.02,0.11,0.43,1857.65,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+Neighbours",1.44,1.67,1.94,1857.88,"phylogenetic SD"
"Phylogenetic+Spatial: local+Neighbours",0.29,0.35,0.42,1857.88,"spatial SD"
"Phylogenetic+Spatial: local+Neighbours",-0.02,0,0.02,1857.88,"Intercept"
"Phylogenetic+Spatial: local+Neighbours",-0.01,0.02,0.05,1857.88,"Neighbours"
"Phylogenetic+Spatial: local+Official",1.42,1.64,1.91,1863.33,"phylogenetic SD"
"Phylogenetic+Spatial: local+Official",0.3,0.36,0.43,1863.33,"spatial SD"
"Phylogenetic+Spatial: local+Official",-0.03,-0.01,0.02,1863.33,"Intercept"
"Phylogenetic+Spatial: local+Official",0,0.16,0.33,1863.33,"Official status"
"Phylogenetic+Spatial: local+L2 proportion (linear)",1.44,1.66,1.93,1864.04,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.29,0.35,0.42,1864.04,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.02,0,0.03,1864.04,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.34,0,0.34,1864.04,"L2 proportion"
"Phylogenetic+Spatial: local+Education",1.42,1.65,1.92,1864.14,"phylogenetic SD"
"Phylogenetic+Spatial: local+Education",0.3,0.36,0.42,1864.14,"spatial SD"
"Phylogenetic+Spatial: local+Education",-0.03,-0.01,0.02,1864.14,"Intercept"
"Phylogenetic+Spatial: local+Education",0,0.14,0.28,1864.14,"Education"
