"","mean","sd","0.025quant","0.5quant","0.975quant","mode","model"
"fitted.Predictor.0001...1",1.2,0.37,0.47,1.2,1.93,1.2,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0002...2",0.81,0.37,0.08,0.81,1.53,0.81,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0003...3",-1.02,0.37,-1.74,-1.02,-0.29,-1.02,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0004...4",-0.83,0.37,-1.56,-0.83,-0.1,-0.83,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0005...5",0.09,0.23,-0.36,0.09,0.53,0.09,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0006...6",-0.03,0.22,-0.47,-0.03,0.4,-0.03,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0007...7",0.04,0.23,-0.4,0.04,0.49,0.05,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0008...8",0.09,0.22,-0.34,0.09,0.52,0.09,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0009...9",0.21,0.21,-0.2,0.21,0.61,0.21,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0010...10",0.24,0.21,-0.18,0.24,0.66,0.24,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0011...11",0.13,0.21,-0.28,0.13,0.54,0.13,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0012...12",0.03,0.27,-0.5,0.03,0.56,0.03,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0013...13",-0.03,0.29,-0.59,-0.03,0.54,-0.03,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0014...14",-0.25,0.2,-0.65,-0.25,0.16,-0.25,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0015...15",-0.23,0.21,-0.64,-0.23,0.18,-0.23,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.0016...16",-0.35,0.22,-0.78,-0.35,0.08,-0.35,"Phylogenetic+Spatial: local+L1 speakers (linear)"
