"","mean","sd","0.025quant","0.5quant","0.975quant","mode","model"
"fitted.Predictor.001...1",0.07,0.44,-0.81,0.07,0.95,0.08,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.002...2",-0.24,0.46,-1.19,-0.22,0.62,-0.16,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.003...3",0.13,0.38,-0.61,0.12,0.93,0.1,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.004...4",0.27,0.38,-0.42,0.24,1.07,0.18,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.005...5",0.21,0.37,-0.49,0.19,0.99,0.15,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.006...6",0.17,0.38,-0.57,0.15,0.97,0.12,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.007...7",0.08,0.34,-0.59,0.07,0.77,0.06,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.008...8",-0.12,0.39,-0.93,-0.1,0.6,-0.05,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.009...9",0.02,0.38,-0.75,0.02,0.79,0.03,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.010...10",-0.25,0.4,-1.11,-0.22,0.46,-0.13,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.011...11",-0.08,0.36,-0.82,-0.06,0.6,-0.03,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.012...12",-0.06,0.34,-0.77,-0.05,0.59,-0.03,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.013...13",-0.08,0.34,-0.79,-0.07,0.56,-0.04,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.014...14",0.05,0.36,-0.66,0.05,0.79,0.04,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.015...15",0.06,0.38,-0.7,0.06,0.84,0.05,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.016...16",0.29,0.4,-0.44,0.26,1.15,0.18,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.017...17",0.17,0.37,-0.54,0.15,0.95,0.11,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.018...18",0.2,0.37,-0.51,0.18,0.98,0.14,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.019...19",0.25,0.4,-0.48,0.23,1.1,0.17,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.020...20",-0.12,0.39,-0.94,-0.1,0.63,-0.07,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.021...21",0.27,0.4,-0.46,0.24,1.13,0.17,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.022...22",0,0.41,-0.84,0.01,0.8,0.03,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.023...23",-0.29,0.41,-1.17,-0.26,0.43,-0.16,"Phylogenetic+Spatial: local+L1 speakers (linear)"
