"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1 speakers (linear)",1.02,1.33,1.7,3201.63,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.35,0.43,0.53,3201.63,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.03,0.01,0.05,3201.63,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.05,0.13,0.21,3201.63,"L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1.02,1.34,1.7,3202.34,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.34,0.42,0.53,3202.34,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",-0.01,0.03,0.07,3202.34,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.03,3202.34,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1.02,1.33,1.7,3203.69,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.35,0.43,0.53,3203.69,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.03,0.01,0.05,3203.69,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.05,0.13,0.21,3203.69,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.54,-0.02,0.5,3203.69,"L2 proportion"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1.01,1.32,1.7,3205.24,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.35,0.43,0.53,3205.24,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",-0.24,0.01,0.26,3205.24,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,3205.24,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,3205.24,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+Neighbours",0.93,1.24,1.62,3223.94,"phylogenetic SD"
"Phylogenetic+Spatial: local+Neighbours",0.36,0.44,0.54,3223.94,"spatial SD"
"Phylogenetic+Spatial: local+Neighbours",-0.01,0.03,0.07,3223.94,"Intercept"
"Phylogenetic+Spatial: local+Neighbours",-0.04,0.01,0.06,3223.94,"Neighbours"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.92,1.24,1.61,3225.73,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.36,0.44,0.54,3225.73,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",-0.22,0.03,0.28,3225.73,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0,0.01,0.03,3225.73,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.92,1.23,1.61,3225.88,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.36,0.44,0.54,3225.88,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.01,0.03,0.07,3225.88,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.49,0.03,0.55,3225.88,"L2 proportion"
"Phylogenetic+Spatial: local+Official",0.88,1.21,1.57,3226.08,"phylogenetic SD"
"Phylogenetic+Spatial: local+Official",0.36,0.44,0.54,3226.08,"spatial SD"
"Phylogenetic+Spatial: local+Official",-0.03,0.02,0.06,3226.08,"Intercept"
"Phylogenetic+Spatial: local+Official",-0.02,0.22,0.45,3226.08,"Official status"
"Phylogenetic+Spatial: local+Education",0.9,1.21,1.58,3227.25,"phylogenetic SD"
"Phylogenetic+Spatial: local+Education",0.36,0.44,0.54,3227.25,"spatial SD"
"Phylogenetic+Spatial: local+Education",-0.03,0.01,0.06,3227.25,"Intercept"
"Phylogenetic+Spatial: local+Education",-0.02,0.19,0.39,3227.25,"Education"
