"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1.51,1.74,2.02,1811.03,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.29,0.35,0.42,1811.03,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",-0.17,-0.01,0.15,1811.03,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,1811.03,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.04,1811.03,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1.51,1.74,2.02,1814.38,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.29,0.35,0.42,1814.38,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",-0.02,0,0.03,1814.38,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.03,1814.38,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)",1.51,1.74,2.02,1814.79,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.29,0.35,0.42,1814.79,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.03,-0.01,0.02,1814.79,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.04,0.09,0.14,1814.79,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1.51,1.74,2.02,1816.96,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.29,0.35,0.42,1816.96,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.03,-0.01,0.02,1816.96,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.04,0.09,0.14,1816.96,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.37,-0.03,0.31,1816.96,"L2 proportion"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",1.5,1.73,2.01,1840.19,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.29,0.35,0.42,1840.19,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",-0.16,0,0.16,1840.19,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.02,0.11,0.44,1840.19,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+Neighbours",1.5,1.73,2.01,1841.26,"phylogenetic SD"
"Phylogenetic+Spatial: local+Neighbours",0.29,0.35,0.42,1841.26,"spatial SD"
"Phylogenetic+Spatial: local+Neighbours",-0.02,0,0.02,1841.26,"Intercept"
"Phylogenetic+Spatial: local+Neighbours",-0.01,0.02,0.05,1841.26,"Neighbours"
"Phylogenetic+Spatial: local+Official",1.48,1.7,1.98,1845.83,"phylogenetic SD"
"Phylogenetic+Spatial: local+Official",0.29,0.35,0.42,1845.83,"spatial SD"
"Phylogenetic+Spatial: local+Official",-0.03,-0.01,0.02,1845.83,"Intercept"
"Phylogenetic+Spatial: local+Official",-0.01,0.16,0.32,1845.83,"Official status"
"Phylogenetic+Spatial: local+Education",1.48,1.71,1.99,1846.8,"phylogenetic SD"
"Phylogenetic+Spatial: local+Education",0.29,0.35,0.42,1846.8,"spatial SD"
"Phylogenetic+Spatial: local+Education",-0.03,-0.01,0.02,1846.8,"Intercept"
"Phylogenetic+Spatial: local+Education",0,0.14,0.28,1846.8,"Education"
"Phylogenetic+Spatial: local+L2 proportion (linear)",1.49,1.72,2,1847.04,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.29,0.35,0.42,1847.04,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.02,0,0.03,1847.04,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.34,0,0.34,1847.04,"L2 proportion"
