"","sp_id","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","model"
"1",1,0.11,0.33,-0.53,0.1,0.76,0.1,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"2",2,-0.14,0.44,-1.02,-0.13,0.72,-0.12,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"3",3,-0.27,0.45,-1.17,-0.26,0.59,-0.24,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"4",4,-0.24,0.45,-1.14,-0.23,0.62,-0.21,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"5",5,0.04,0.44,-0.83,0.04,0.92,0.04,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"6",6,0.51,0.47,-0.38,0.5,1.48,0.46,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"7",7,0.33,0.46,-0.53,0.32,1.26,0.3,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"8",8,0.7,0.51,-0.24,0.68,1.72,0.64,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"9",9,0.26,0.45,-0.6,0.25,1.17,0.23,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"10",10,-0.61,0.49,-1.61,-0.59,0.32,-0.54,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"11",11,-0.26,0.45,-1.18,-0.25,0.6,-0.23,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"12",12,0.08,0.44,-0.78,0.08,0.95,0.07,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"13",13,0,0.44,-0.87,0,0.86,0,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"14",14,-0.46,0.48,-1.44,-0.45,0.43,-0.4,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"15",15,0.35,0.45,-0.5,0.34,1.26,0.31,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"16",16,0.19,0.26,-0.3,0.18,0.7,0.17,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"17",17,0.17,0.26,-0.32,0.17,0.69,0.16,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"18",18,0.1,0.29,-0.48,0.11,0.68,0.11,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"19",19,-0.28,0.24,-0.77,-0.27,0.18,-0.26,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"20",20,-0.33,0.27,-0.88,-0.32,0.18,-0.31,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"21",21,-0.31,0.27,-0.86,-0.3,0.19,-0.29,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"22",22,0.02,0.29,-0.55,0.02,0.58,0.03,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"23",23,-0.22,0.24,-0.71,-0.21,0.25,-0.2,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"24",24,-0.16,0.25,-0.67,-0.15,0.33,-0.14,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"25",25,0.06,0.26,-0.46,0.06,0.57,0.06,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"26",26,0.1,0.24,-0.36,0.1,0.58,0.09,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"27",27,-0.13,0.24,-0.6,-0.12,0.33,-0.11,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"28",28,-0.02,0.24,-0.49,-0.02,0.45,-0.02,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"29",29,0.14,0.26,-0.36,0.14,0.65,0.14,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"30",30,-0.08,0.31,-0.7,-0.08,0.52,-0.08,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"31",31,-0.27,0.38,-1.06,-0.26,0.46,-0.23,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"32",32,0.07,0.29,-0.48,0.06,0.66,0.05,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"33",33,0.11,0.31,-0.47,0.11,0.73,0.09,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"34",34,0.17,0.3,-0.4,0.17,0.79,0.15,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"35",35,0.39,0.35,-0.28,0.39,1.11,0.37,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"36",36,-0.11,0.29,-0.68,-0.11,0.45,-0.1,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"37",37,0.23,0.43,-0.6,0.23,1.09,0.21,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"38",38,-0.51,0.43,-1.39,-0.5,0.28,-0.45,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"39",39,-0.31,0.25,-0.83,-0.31,0.17,-0.29,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"40",40,0.11,0.28,-0.43,0.11,0.68,0.09,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"41",41,0.09,0.42,-0.74,0.08,0.94,0.07,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"42",42,-0.07,0.42,-0.9,-0.06,0.77,-0.06,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"43",43,-0.43,0.46,-1.35,-0.41,0.43,-0.38,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"44",44,0.44,0.36,-0.25,0.43,1.17,0.41,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"45",45,-0.05,0.4,-0.85,-0.05,0.74,-0.06,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"46",46,-0.54,0.48,-1.52,-0.53,0.36,-0.49,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"47",47,-0.64,0.51,-1.68,-0.62,0.3,-0.57,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"48",48,0.65,0.48,-0.24,0.64,1.63,0.59,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"49",49,0.26,0.44,-0.59,0.25,1.14,0.23,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"50",50,0.27,0.46,-0.6,0.26,1.21,0.23,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"51",51,-0.29,0.46,-1.23,-0.27,0.6,-0.24,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"52",52,-0.33,0.47,-1.28,-0.32,0.55,-0.29,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"53",53,-0.2,0.46,-1.13,-0.2,0.68,-0.18,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"54",54,-0.26,0.45,-1.17,-0.25,0.62,-0.23,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"55",55,-0.3,0.46,-1.23,-0.29,0.58,-0.26,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"56",56,0.47,0.49,-0.43,0.46,1.47,0.41,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"57",57,-0.35,0.46,-1.3,-0.34,0.52,-0.31,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"58",58,-0.13,0.45,-1.03,-0.13,0.74,-0.11,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"59",59,0.3,0.47,-0.59,0.29,1.25,0.26,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"60",60,0.04,0.46,-0.85,0.04,0.95,0.03,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"61",61,0.28,0.46,-0.59,0.27,1.21,0.25,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"62",62,0.04,0.42,-0.79,0.04,0.88,0.04,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"63",63,-0.42,0.39,-1.22,-0.4,0.3,-0.36,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"64",64,-0.55,0.44,-1.45,-0.53,0.26,-0.48,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"65",65,-0.06,0.33,-0.69,-0.06,0.59,-0.06,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"66",66,-0.24,0.45,-1.14,-0.23,0.62,-0.21,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"67",67,-0.03,0.43,-0.89,-0.03,0.82,-0.03,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"68",68,-0.38,0.42,-1.22,-0.37,0.42,-0.34,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"69",69,0.32,0.45,-0.55,0.31,1.24,0.28,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"70",70,-0.63,0.49,-1.63,-0.62,0.28,-0.58,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"71",71,0.62,0.49,-0.3,0.6,1.62,0.56,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"72",72,0.43,0.46,-0.44,0.42,1.37,0.39,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"73",73,-0.34,0.45,-1.25,-0.33,0.52,-0.3,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"74",74,0.24,0.45,-0.62,0.23,1.14,0.21,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"75",75,-0.04,0.44,-0.91,-0.04,0.81,-0.04,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"76",76,0.24,0.45,-0.61,0.23,1.14,0.21,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"77",77,-0.12,0.44,-1,-0.12,0.74,-0.11,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"78",78,0.17,0.44,-0.68,0.16,1.05,0.15,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"79",79,0.75,0.51,-0.21,0.73,1.78,0.69,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"80",80,0.51,0.48,-0.38,0.5,1.48,0.46,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"81",81,-0.17,0.44,-1.05,-0.16,0.69,-0.15,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"82",82,0.09,0.33,-0.56,0.09,0.74,0.09,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"83",83,-0.04,0.39,-0.81,-0.04,0.72,-0.03,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"84",84,0.11,0.32,-0.52,0.1,0.74,0.1,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"85",85,0.66,0.43,-0.14,0.65,1.52,0.62,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"86",86,0.67,0.44,-0.15,0.66,1.56,0.63,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"87",87,0.36,0.43,-0.46,0.35,1.25,0.32,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"88",88,-0.05,0.43,-0.88,-0.05,0.8,-0.05,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"89",89,-0.15,0.42,-1,-0.15,0.68,-0.14,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"90",90,-0.22,0.45,-1.12,-0.21,0.64,-0.19,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"91",91,0.06,0.43,-0.79,0.05,0.92,0.05,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"92",92,0.14,0.44,-0.72,0.13,1.02,0.12,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"93",93,0.48,0.47,-0.41,0.46,1.43,0.43,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"94",94,0.19,0.44,-0.67,0.18,1.08,0.17,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"95",95,0.41,0.46,-0.47,0.39,1.34,0.36,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"96",96,0.24,0.45,-0.62,0.23,1.14,0.21,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"97",97,0.25,0.45,-0.61,0.24,1.15,0.23,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"98",98,0.73,0.51,-0.21,0.72,1.75,0.67,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"99",99,0.39,0.45,-0.47,0.38,1.31,0.36,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"100",100,0.08,0.44,-0.79,0.07,0.95,0.07,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"101",101,0.16,0.44,-0.7,0.16,1.05,0.14,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"102",102,-0.31,0.46,-1.23,-0.3,0.56,-0.27,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"103",103,0.32,0.45,-0.54,0.31,1.24,0.29,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"104",104,-0.73,0.51,-1.76,-0.71,0.23,-0.66,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"105",105,-1.22,0.63,-2.44,-1.22,-0.06,-1.27,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"106",106,-0.29,0.45,-1.21,-0.28,0.58,-0.25,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"107",107,0.05,0.44,-0.81,0.05,0.93,0.05,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"108",108,-0.25,0.46,-1.18,-0.24,0.63,-0.21,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"109",109,-0.02,0.45,-0.92,-0.02,0.87,-0.02,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"110",110,-0.68,0.51,-1.71,-0.66,0.26,-0.61,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"111",111,-0.56,0.43,-1.43,-0.54,0.25,-0.51,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"112",112,0.37,0.43,-0.45,0.36,1.24,0.33,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"113",113,0.17,0.41,-0.62,0.17,0.99,0.16,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"114",114,-0.36,0.4,-1.18,-0.35,0.41,-0.33,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"115",115,-0.1,0.35,-0.8,-0.1,0.6,-0.1,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"116",116,0.48,0.39,-0.25,0.47,1.3,0.43,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"117",117,0.12,0.34,-0.54,0.11,0.82,0.1,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"118",118,-0.38,0.37,-1.13,-0.37,0.33,-0.35,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"119",119,0.44,0.39,-0.29,0.43,1.25,0.4,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"120",120,-0.75,0.53,-1.82,-0.73,0.23,-0.67,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"121",1,0.11,0.33,-0.53,0.11,0.76,0.1,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"122",2,-0.14,0.44,-1.02,-0.14,0.72,-0.12,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"123",3,-0.27,0.45,-1.17,-0.26,0.59,-0.24,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"124",4,-0.24,0.45,-1.13,-0.23,0.62,-0.21,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"125",5,0.04,0.44,-0.83,0.04,0.91,0.03,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"126",6,0.52,0.47,-0.37,0.5,1.48,0.47,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"127",7,0.34,0.46,-0.53,0.33,1.26,0.3,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"128",8,0.71,0.51,-0.24,0.69,1.73,0.65,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"129",9,0.26,0.45,-0.6,0.25,1.18,0.23,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"130",10,-0.61,0.49,-1.61,-0.6,0.31,-0.55,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"131",11,-0.27,0.45,-1.18,-0.26,0.6,-0.23,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"132",12,0.08,0.44,-0.78,0.08,0.95,0.07,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"133",13,0,0.44,-0.86,0,0.86,0,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"134",14,-0.47,0.48,-1.44,-0.45,0.43,-0.41,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"135",15,0.36,0.45,-0.5,0.35,1.26,0.32,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"136",16,0.19,0.26,-0.3,0.19,0.7,0.18,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"137",17,0.17,0.26,-0.32,0.17,0.69,0.16,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"138",18,0.1,0.29,-0.48,0.11,0.68,0.11,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"139",19,-0.28,0.24,-0.77,-0.28,0.18,-0.27,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"140",20,-0.33,0.27,-0.88,-0.33,0.17,-0.31,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"141",21,-0.32,0.27,-0.86,-0.31,0.19,-0.29,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"142",22,0.02,0.29,-0.56,0.02,0.58,0.03,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"143",23,-0.22,0.24,-0.71,-0.22,0.25,-0.2,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"144",24,-0.16,0.25,-0.67,-0.15,0.33,-0.14,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"145",25,0.06,0.26,-0.46,0.06,0.57,0.06,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"146",26,0.1,0.24,-0.36,0.1,0.58,0.09,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"147",27,-0.13,0.24,-0.6,-0.12,0.33,-0.12,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"148",28,-0.02,0.24,-0.49,-0.02,0.45,-0.02,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"149",29,0.14,0.26,-0.36,0.14,0.65,0.14,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"150",30,-0.09,0.31,-0.7,-0.08,0.52,-0.08,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"151",31,-0.27,0.38,-1.06,-0.26,0.45,-0.24,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"152",32,0.07,0.29,-0.48,0.07,0.66,0.05,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"153",33,0.11,0.31,-0.47,0.11,0.73,0.09,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"154",34,0.18,0.3,-0.4,0.17,0.79,0.15,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"155",35,0.4,0.35,-0.28,0.39,1.11,0.38,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"156",36,-0.11,0.29,-0.68,-0.11,0.45,-0.1,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"157",37,0.23,0.43,-0.6,0.23,1.09,0.22,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"158",38,-0.52,0.43,-1.4,-0.5,0.28,-0.46,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"159",39,-0.32,0.25,-0.83,-0.31,0.16,-0.3,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"160",40,0.11,0.28,-0.43,0.11,0.68,0.1,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"161",41,0.09,0.42,-0.74,0.08,0.93,0.08,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"162",42,-0.07,0.42,-0.9,-0.06,0.77,-0.06,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"163",43,-0.43,0.45,-1.35,-0.42,0.43,-0.39,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"164",44,0.45,0.36,-0.24,0.44,1.18,0.42,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"165",45,-0.05,0.4,-0.85,-0.05,0.74,-0.06,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"166",46,-0.55,0.48,-1.53,-0.53,0.35,-0.49,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"167",47,-0.65,0.51,-1.69,-0.63,0.29,-0.58,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"168",48,0.66,0.48,-0.23,0.64,1.64,0.6,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"169",49,0.26,0.44,-0.58,0.25,1.14,0.23,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"170",50,0.28,0.46,-0.6,0.27,1.21,0.24,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"171",51,-0.29,0.46,-1.23,-0.27,0.6,-0.25,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"172",52,-0.33,0.46,-1.27,-0.32,0.55,-0.29,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
"173",53,-0.2,0.46,-1.12,-0.2,0.68,-0.18,0,"Phylogenetic+Spatial: local+L1 speakers (nonlinear)"
