"","mean","sd","0.025quant","0.5quant","0.975quant","mode","model"
"fitted.Predictor.001...1",1.27,0.27,0.67,1.29,1.75,1.33,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.002...2",0.39,0.25,-0.14,0.4,0.88,0.41,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.003...3",-0.42,0.25,-0.92,-0.43,0.1,-0.44,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.004...4",-0.68,0.26,-1.17,-0.69,-0.14,-0.71,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.005...5",-1.31,0.26,-1.79,-1.33,-0.73,-1.35,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.006...6",-0.17,0.25,-0.67,-0.18,0.34,-0.18,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.007...7",-0.04,0.25,-0.55,-0.04,0.46,-0.04,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.008...8",-0.3,0.25,-0.8,-0.31,0.21,-0.31,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.009...9",0.22,0.25,-0.31,0.22,0.71,0.23,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.010...10",-1.41,0.27,-1.9,-1.44,-0.81,-1.47,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.011...11",0.44,0.25,-0.08,0.45,0.93,0.46,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.012...12",0.14,0.25,-0.38,0.14,0.64,0.15,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.013...13",-0.29,0.25,-0.79,-0.3,0.23,-0.3,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.014...14",0.54,0.25,0.05,0.54,1.05,0.54,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.015...15",1.26,0.26,0.7,1.28,1.74,1.3,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.016...16",0.74,0.17,0.38,0.75,1.05,0.76,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.017...17",0.75,0.16,0.41,0.75,1.06,0.76,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.018...18",-0.06,0.21,-0.44,-0.07,0.38,-0.1,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.019...19",0.17,0.15,-0.13,0.17,0.44,0.18,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.020...20",-0.27,0.18,-0.61,-0.27,0.12,-0.29,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.021...21",-0.04,0.17,-0.37,-0.05,0.29,-0.05,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.022...22",0.31,0.18,-0.04,0.31,0.68,0.31,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.023...23",0.24,0.16,-0.08,0.24,0.57,0.24,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.024...24",0.51,0.18,0.14,0.52,0.84,0.53,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.025...25",0.56,0.17,0.22,0.57,0.87,0.58,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.026...26",0.87,0.16,0.53,0.88,1.18,0.89,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.027...27",0.64,0.16,0.31,0.65,0.94,0.66,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.028...28",0.64,0.16,0.31,0.64,0.95,0.65,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.029...29",0.59,0.17,0.24,0.59,0.92,0.6,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.030...30",-0.08,0.21,-0.48,-0.08,0.34,-0.08,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.031...31",0.12,0.23,-0.36,0.12,0.57,0.13,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.032...32",0.22,0.19,-0.18,0.22,0.59,0.23,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.033...33",0.38,0.2,-0.03,0.39,0.76,0.41,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.034...34",0.53,0.21,0.08,0.54,0.9,0.57,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.035...35",-0.31,0.23,-0.73,-0.32,0.18,-0.35,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.036...36",-0.34,0.21,-0.73,-0.35,0.11,-0.37,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.037...37",-0.04,0.25,-0.53,-0.04,0.47,-0.04,"Phylogenetic+Spatial: local+L1 speakers (linear)"
