"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",0.92,1.24,1.6,3128.92,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",0.36,0.44,0.53,3128.92,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",-0.04,0,0.04,3128.92,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",-0.02,0.05,0.13,3128.92,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",0.12,0.31,0.49,3128.92,"Vehicularity"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.97,1.28,1.66,3132.73,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.35,0.43,0.53,3132.73,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.01,0.03,0.07,3132.73,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.03,0.1,0.17,3132.73,"L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.97,1.29,1.65,3134.4,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.35,0.43,0.54,3134.4,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.04,0.08,3134.4,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.03,3134.4,"social SD:
L1"
"Phylogenetic+Spatial: local+Vehicularity",0.87,1.18,1.55,3136.39,"phylogenetic SD"
"Phylogenetic+Spatial: local+Vehicularity",0.36,0.44,0.54,3136.39,"spatial SD"
"Phylogenetic+Spatial: local+Vehicularity",-0.05,0,0.04,3136.39,"Intercept"
"Phylogenetic+Spatial: local+Vehicularity",0.19,0.36,0.53,3136.39,"Vehicularity"
"Phylogenetic+Spatial: local+Neighbours",0.88,1.2,1.57,3153.06,"phylogenetic SD"
"Phylogenetic+Spatial: local+Neighbours",0.36,0.44,0.54,3153.06,"spatial SD"
"Phylogenetic+Spatial: local+Neighbours",-0.01,0.03,0.07,3153.06,"Intercept"
"Phylogenetic+Spatial: local+Neighbours",-0.04,0.01,0.05,3153.06,"Neighbours"
"Phylogenetic+Spatial: local+Education",0.85,1.15,1.54,3156.96,"phylogenetic SD"
"Phylogenetic+Spatial: local+Education",0.37,0.45,0.54,3156.96,"spatial SD"
"Phylogenetic+Spatial: local+Education",-0.02,0.02,0.06,3156.96,"Intercept"
"Phylogenetic+Spatial: local+Education",-0.03,0.18,0.38,3156.96,"Education"
"Phylogenetic+Spatial: local+Official",0.83,1.14,1.52,3157.39,"phylogenetic SD"
"Phylogenetic+Spatial: local+Official",0.37,0.45,0.54,3157.39,"spatial SD"
"Phylogenetic+Spatial: local+Official",-0.02,0.02,0.06,3157.39,"Intercept"
"Phylogenetic+Spatial: local+Official",-0.03,0.21,0.45,3157.39,"Official status"
