"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.03,0.18,0.68,282.59,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.26,0.48,0.75,282.59,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.09,0.1,0.29,282.59,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.47,0.24,0.95,282.59,"L2 proportion"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.03,0.17,0.7,283.71,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.25,0.47,0.73,283.71,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",-0.01,0.2,0.42,283.71,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0,0.01,0.03,283.71,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.04,0.21,0.76,283.99,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.25,0.46,0.73,283.99,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.03,0.15,0.28,283.99,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.25,-0.04,0.17,283.99,"L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.04,0.21,0.76,284.47,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.24,0.45,0.71,284.47,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.03,0.16,0.3,284.47,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.03,284.47,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.03,0.19,0.72,285.31,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.25,0.46,0.73,285.31,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.09,0.1,0.29,285.31,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.25,-0.04,0.17,285.31,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.48,0.24,0.94,285.31,"L2 proportion"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.03,0.19,0.73,285.85,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.24,0.45,0.72,285.85,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",-0.01,0.21,0.43,285.85,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,285.85,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,285.85,"social SD:
L2 proportion"
