"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1 speakers (linear)",1.53,1.75,2.02,1796.34,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.28,0.34,0.41,1796.34,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.02,0,0.02,1796.34,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.03,0.07,0.12,1796.34,"L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1.53,1.75,2.02,1797.16,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.28,0.34,0.41,1797.16,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",-0.02,0,0.03,1797.16,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.03,1797.16,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",1.53,1.75,2.02,1798.71,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",0.27,0.34,0.4,1798.71,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",-0.04,-0.01,0.02,1798.71,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",0.01,0.06,0.11,1798.71,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",-0.03,0.09,0.21,1798.71,"Vehicularity"
"Phylogenetic+Spatial: local+Vehicularity",1.52,1.74,2.01,1814.82,"phylogenetic SD"
"Phylogenetic+Spatial: local+Vehicularity",0.27,0.34,0.4,1814.82,"spatial SD"
"Phylogenetic+Spatial: local+Vehicularity",-0.04,-0.01,0.01,1814.82,"Intercept"
"Phylogenetic+Spatial: local+Vehicularity",0.03,0.14,0.26,1814.82,"Vehicularity"
"Phylogenetic+Spatial: local+Neighbours",1.52,1.74,2.01,1818.78,"phylogenetic SD"
"Phylogenetic+Spatial: local+Neighbours",0.27,0.34,0.41,1818.78,"spatial SD"
"Phylogenetic+Spatial: local+Neighbours",-0.03,0,0.02,1818.78,"Intercept"
"Phylogenetic+Spatial: local+Neighbours",-0.01,0.02,0.05,1818.78,"Neighbours"
"Phylogenetic+Spatial: local+Official",1.5,1.72,1.99,1820.45,"phylogenetic SD"
"Phylogenetic+Spatial: local+Official",0.28,0.34,0.41,1820.45,"spatial SD"
"Phylogenetic+Spatial: local+Official",-0.03,-0.01,0.02,1820.45,"Intercept"
"Phylogenetic+Spatial: local+Official",0.01,0.17,0.34,1820.45,"Official status"
"Phylogenetic+Spatial: local+Education",1.5,1.72,1.99,1821.36,"phylogenetic SD"
"Phylogenetic+Spatial: local+Education",0.28,0.34,0.41,1821.36,"spatial SD"
"Phylogenetic+Spatial: local+Education",-0.04,-0.01,0.01,1821.36,"Intercept"
"Phylogenetic+Spatial: local+Education",0.01,0.15,0.29,1821.36,"Education"
