"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1 speakers (linear)",1.52,1.74,2.01,1835.88,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.28,0.34,0.41,1835.88,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.03,-0.01,0.02,1835.88,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.03,0.08,0.14,1835.88,"L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1.52,1.75,2.02,1836.35,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.28,0.34,0.41,1836.35,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",-0.02,0,0.03,1836.35,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.03,1836.35,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1.52,1.74,2.02,1837.83,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.28,0.34,0.41,1837.83,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.03,-0.01,0.02,1837.83,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.03,0.08,0.14,1837.83,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.39,-0.05,0.29,1837.83,"L2 proportion"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1.52,1.74,2.02,1839.45,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.28,0.34,0.41,1839.45,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",-0.18,-0.02,0.14,1839.45,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,1839.45,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.05,1839.45,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+Neighbours",1.51,1.73,2,1860.28,"phylogenetic SD"
"Phylogenetic+Spatial: local+Neighbours",0.28,0.34,0.41,1860.28,"spatial SD"
"Phylogenetic+Spatial: local+Neighbours",-0.02,0,0.02,1860.28,"Intercept"
"Phylogenetic+Spatial: local+Neighbours",-0.01,0.02,0.05,1860.28,"Neighbours"
"Phylogenetic+Spatial: local+Official",1.49,1.71,1.98,1863.88,"phylogenetic SD"
"Phylogenetic+Spatial: local+Official",0.28,0.34,0.41,1863.88,"spatial SD"
"Phylogenetic+Spatial: local+Official",-0.03,-0.01,0.02,1863.88,"Intercept"
"Phylogenetic+Spatial: local+Official",-0.01,0.16,0.32,1863.88,"Official status"
"Phylogenetic+Spatial: local+Education",1.49,1.71,1.98,1864.34,"phylogenetic SD"
"Phylogenetic+Spatial: local+Education",0.28,0.34,0.41,1864.34,"spatial SD"
"Phylogenetic+Spatial: local+Education",-0.03,-0.01,0.02,1864.34,"Intercept"
"Phylogenetic+Spatial: local+Education",0,0.14,0.28,1864.34,"Education"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",1.5,1.73,2,1864.5,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.28,0.34,0.41,1864.5,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",-0.17,-0.01,0.15,1864.5,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0,0.01,0.04,1864.5,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",1.5,1.72,1.99,1865.45,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",0.28,0.34,0.41,1865.45,"spatial SD"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",-0.03,0,0.02,1865.45,"Intercept"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",-0.04,0.03,0.1,1865.45,"L1*L2 proportion"
"Phylogenetic+Spatial: local+L2 proportion (linear)",1.5,1.73,2,1866.35,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.28,0.34,0.41,1866.35,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.02,0,0.03,1866.35,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.36,-0.02,0.32,1866.35,"L2 proportion"
