"","phy_id","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","model"
"1",1,-0.01,0.27,-0.54,-0.01,0.51,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"2",2,-0.01,0.09,-0.18,-0.01,0.16,-0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"3",3,-0.04,0.44,-0.91,-0.04,0.84,-0.03,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"4",4,0.01,0.48,-0.94,0.01,0.96,0.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"5",5,0.18,0.57,-0.93,0.18,1.31,0.18,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"6",6,-0.03,0.25,-0.52,-0.04,0.45,-0.04,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"7",7,-0.04,0.24,-0.51,-0.04,0.44,-0.04,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"8",8,-0.04,0.24,-0.51,-0.05,0.43,-0.05,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"9",9,-0.08,0.42,-0.9,-0.08,0.76,-0.08,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"10",10,-0.21,0.16,-0.52,-0.21,0.1,-0.21,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"11",11,-0.21,0.15,-0.52,-0.21,0.09,-0.21,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"12",12,-0.22,0.15,-0.51,-0.22,0.06,-0.22,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"13",13,-0.25,0.09,-0.42,-0.25,-0.07,-0.25,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"14",14,-0.23,0.08,-0.39,-0.23,-0.06,-0.23,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"15",15,-0.21,0.08,-0.38,-0.21,-0.05,-0.21,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"16",16,-0.18,0.08,-0.34,-0.18,-0.03,-0.18,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"17",17,-0.18,0.08,-0.35,-0.18,-0.02,-0.18,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"18",18,-0.19,0.09,-0.36,-0.19,-0.02,-0.19,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"19",19,-0.2,0.09,-0.37,-0.2,-0.02,-0.2,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"20",20,-0.2,0.11,-0.42,-0.2,0.03,-0.2,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"21",21,-0.18,0.15,-0.47,-0.18,0.11,-0.18,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"22",22,-0.18,0.16,-0.49,-0.18,0.14,-0.18,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"23",23,-0.17,0.17,-0.5,-0.17,0.16,-0.17,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"24",24,-0.17,0.18,-0.53,-0.18,0.19,-0.18,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"25",25,-0.18,0.19,-0.55,-0.18,0.2,-0.18,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"26",26,-0.18,0.19,-0.56,-0.18,0.21,-0.18,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"27",27,-0.16,0.19,-0.54,-0.16,0.23,-0.16,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"28",28,-0.15,0.2,-0.55,-0.15,0.26,-0.15,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"29",29,-0.21,0.13,-0.47,-0.21,0.05,-0.21,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"30",30,-0.21,0.14,-0.49,-0.21,0.07,-0.21,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"31",31,-0.21,0.15,-0.5,-0.21,0.09,-0.21,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"32",32,-0.21,0.15,-0.51,-0.21,0.09,-0.21,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"33",33,-0.21,0.19,-0.59,-0.21,0.16,-0.21,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"34",34,-0.19,0.21,-0.61,-0.19,0.23,-0.19,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"35",35,-0.24,0.17,-0.58,-0.24,0.1,-0.24,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"36",36,-0.24,0.17,-0.59,-0.24,0.1,-0.24,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"37",37,-0.2,0.1,-0.39,-0.2,-0.01,-0.2,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"38",38,-0.2,0.1,-0.41,-0.2,0,-0.2,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"39",39,-0.2,0.11,-0.41,-0.2,0,-0.2,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"40",40,-0.21,0.11,-0.43,-0.21,0.01,-0.21,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"41",41,-0.21,0.12,-0.44,-0.21,0.02,-0.21,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"42",42,-0.21,0.12,-0.46,-0.21,0.03,-0.21,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"43",43,-0.22,0.16,-0.54,-0.22,0.1,-0.22,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"44",44,-0.23,0.18,-0.59,-0.23,0.13,-0.23,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
