"","model","WAIC","prior","response"
"1","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1843.11,"0.1","boundness"
"2","Phylogenetic+Spatial: local+L1 speakers (linear)",1843.86,"0.1","boundness"
"3","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1844.05,"0.1","boundness"
"4","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1845.86,"0.1","boundness"
"5","Phylogenetic+Spatial: local+Neighbours",1868.44,"0.1","boundness"
"6","Phylogenetic+Spatial: local+Official",1871.09,"0.1","boundness"
"7","Phylogenetic+Spatial: local+Education",1872.25,"0.1","boundness"
"8","Phylogenetic+Spatial: local+L2 proportion (nonlinear)",1872.58,"0.1","boundness"
"9","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",1873.24,"0.1","boundness"
"10","Phylogenetic+Spatial: local+L2 proportion (linear)",1874.23,"0.1","boundness"
"11","Phylogenetic+Spatial: local+L1 speakers (linear)",1851.2,"0.01","boundness"
"12","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1851.46,"0.01","boundness"
"13","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1852.73,"0.01","boundness"
"14","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1853.21,"0.01","boundness"
"15","Phylogenetic+Spatial: local+Neighbours",1874.51,"0.01","boundness"
"16","Phylogenetic+Spatial: local+Official",1878,"0.01","boundness"
"17","Phylogenetic+Spatial: local+L2 proportion (linear)",1879.37,"0.01","boundness"
"18","Phylogenetic+Spatial: local+Education",1879.43,"0.01","boundness"
"19","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",1879.9,"0.01","boundness"
"20","Phylogenetic+Spatial: local+L2 proportion (nonlinear)",1880.14,"0.01","boundness"
"21","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1836.77,"0.5","boundness"
"22","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1836.8,"0.5","boundness"
"23","Phylogenetic+Spatial: local+L1 speakers (linear)",1838.28,"0.5","boundness"
"24","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1840.22,"0.5","boundness"
"25","Phylogenetic+Spatial: local+Neighbours",1862.84,"0.5","boundness"
"26","Phylogenetic+Spatial: local+Education",1866.53,"0.5","boundness"
"27","Phylogenetic+Spatial: local+Official",1866.55,"0.5","boundness"
"28","Phylogenetic+Spatial: local+L2 proportion (nonlinear)",1866.56,"0.5","boundness"
"29","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",1867.8,"0.5","boundness"
"30","Phylogenetic+Spatial: local+L2 proportion (linear)",1868.7,"0.5","boundness"
"31","Phylogenetic+Spatial: local+L1 speakers (linear)",1835.88,"0.99","boundness"
"32","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1836.35,"0.99","boundness"
"33","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1837.83,"0.99","boundness"
"34","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1839.45,"0.99","boundness"
"35","Phylogenetic+Spatial: local+Neighbours",1860.28,"0.99","boundness"
"36","Phylogenetic+Spatial: local+Official",1863.88,"0.99","boundness"
"37","Phylogenetic+Spatial: local+Education",1864.34,"0.99","boundness"
"38","Phylogenetic+Spatial: local+L2 proportion (nonlinear)",1864.5,"0.99","boundness"
"39","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",1865.45,"0.99","boundness"
"40","Phylogenetic+Spatial: local+L2 proportion (linear)",1866.35,"0.99","boundness"
"41","Phylogenetic+Spatial: local+L1 speakers (linear)",3207.14,"0.1","informativity"
"42","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",3207.49,"0.1","informativity"
"43","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",3208.11,"0.1","informativity"
"44","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",3209.11,"0.1","informativity"
"45","Phylogenetic+Spatial: local+Neighbours",3229.76,"0.1","informativity"
"46","Phylogenetic+Spatial: local+L2 proportion (linear)",3229.95,"0.1","informativity"
"47","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",3230.07,"0.1","informativity"
"48","Phylogenetic+Spatial: local+L2 proportion (nonlinear)",3230.77,"0.1","informativity"
"49","Phylogenetic+Spatial: local+Education",3233.24,"0.1","informativity"
"50","Phylogenetic+Spatial: local+Official",3233.87,"0.1","informativity"
"51","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",3205.37,"0.01","informativity"
"52","Phylogenetic+Spatial: local+L1 speakers (linear)",3214.27,"0.01","informativity"
"53","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",3216.08,"0.01","informativity"
"54","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",3217.42,"0.01","informativity"
"55","Phylogenetic+Spatial: local+Neighbours",3236.55,"0.01","informativity"
"56","Phylogenetic+Spatial: local+L2 proportion (linear)",3238.63,"0.01","informativity"
"57","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",3238.68,"0.01","informativity"
"58","Phylogenetic+Spatial: local+L2 proportion (nonlinear)",3238.79,"0.01","informativity"
"59","Phylogenetic+Spatial: local+Education",3241.52,"0.01","informativity"
"60","Phylogenetic+Spatial: local+Official",3242.53,"0.01","informativity"
"61","Phylogenetic+Spatial: local+L1 speakers (linear)",3201.63,"0.5","informativity"
"62","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",3202.34,"0.5","informativity"
"63","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",3203.69,"0.5","informativity"
"64","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",3205.24,"0.5","informativity"
"65","Phylogenetic+Spatial: local+Neighbours",3223.94,"0.5","informativity"
"66","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",3225.58,"0.5","informativity"
"67","Phylogenetic+Spatial: local+L2 proportion (nonlinear)",3225.73,"0.5","informativity"
"68","Phylogenetic+Spatial: local+L2 proportion (linear)",3225.88,"0.5","informativity"
"69","Phylogenetic+Spatial: local+Official",3226.08,"0.5","informativity"
"70","Phylogenetic+Spatial: local+Education",3227.25,"0.5","informativity"
"71","Phylogenetic+Spatial: local+L1 speakers (linear)",3198.98,"0.99","informativity"
"72","Phylogenetic+Spatial: local+L1 speakers (nonlinear)",3199.7,"0.99","informativity"
"73","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",3200.89,"0.99","informativity"
"74","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",3202,"0.99","informativity"
"75","Phylogenetic+Spatial: local+Neighbours",3220.92,"0.99","informativity"
"76","Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",3222.78,"0.99","informativity"
"77","Phylogenetic+Spatial: local+L2 proportion (linear)",3223.07,"0.99","informativity"
"78","Phylogenetic+Spatial: local+Education",3224.39,"0.99","informativity"
"79","Phylogenetic+Spatial: local+L2 proportion (nonlinear)",3224.41,"0.99","informativity"
"80","Phylogenetic+Spatial: local+Official",3225.27,"0.99","informativity"
