"","phy_id","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","model"
"1",1,0.01,0.45,-0.87,0.01,0.9,0.01,0,"Phylogenetic"
"2",2,0.01,0.15,-0.29,0.01,0.31,0.01,0,"Phylogenetic"
"3",3,-0.02,0.72,-1.44,-0.02,1.4,-0.02,0,"Phylogenetic"
"4",4,0.02,0.77,-1.49,0.02,1.54,0.02,0,"Phylogenetic"
"5",5,0.34,0.88,-1.39,0.34,2.06,0.34,0,"Phylogenetic"
"6",6,0.19,0.41,-0.61,0.19,0.99,0.19,0,"Phylogenetic"
"7",7,0.19,0.4,-0.59,0.19,0.96,0.19,0,"Phylogenetic"
"8",8,0.19,0.39,-0.58,0.19,0.96,0.19,0,"Phylogenetic"
"9",9,-0.11,0.69,-1.46,-0.11,1.25,-0.11,0,"Phylogenetic"
"10",10,-0.39,0.2,-0.78,-0.39,0.01,-0.39,0,"Phylogenetic"
"11",11,-0.39,0.19,-0.77,-0.39,-0.01,-0.39,0,"Phylogenetic"
"12",12,-0.42,0.19,-0.79,-0.42,-0.06,-0.42,0,"Phylogenetic"
"13",13,-0.57,0.1,-0.75,-0.57,-0.38,-0.57,0,"Phylogenetic"
"14",14,-0.64,0.09,-0.81,-0.64,-0.47,-0.64,0,"Phylogenetic"
"15",15,-0.63,0.09,-0.8,-0.63,-0.46,-0.63,0,"Phylogenetic"
"16",16,-0.61,0.08,-0.76,-0.61,-0.45,-0.61,0,"Phylogenetic"
"17",17,-0.6,0.08,-0.76,-0.6,-0.44,-0.6,0,"Phylogenetic"
"18",18,-0.56,0.09,-0.73,-0.56,-0.39,-0.56,0,"Phylogenetic"
"19",19,-0.53,0.09,-0.71,-0.53,-0.35,-0.53,0,"Phylogenetic"
"20",20,-0.36,0.13,-0.61,-0.36,-0.11,-0.36,0,"Phylogenetic"
"21",21,-0.13,0.16,-0.45,-0.13,0.2,-0.13,0,"Phylogenetic"
"22",22,-0.06,0.17,-0.39,-0.06,0.26,-0.06,0,"Phylogenetic"
"23",23,0.03,0.16,-0.29,0.03,0.35,0.03,0,"Phylogenetic"
"24",24,0.07,0.17,-0.27,0.07,0.4,0.07,0,"Phylogenetic"
"25",25,0.1,0.18,-0.25,0.1,0.44,0.1,0,"Phylogenetic"
"26",26,0.12,0.18,-0.24,0.12,0.47,0.12,0,"Phylogenetic"
"27",27,0.13,0.19,-0.23,0.13,0.49,0.13,0,"Phylogenetic"
"28",28,0.18,0.19,-0.2,0.18,0.56,0.18,0,"Phylogenetic"
"29",29,-0.34,0.14,-0.62,-0.34,-0.05,-0.34,0,"Phylogenetic"
"30",30,-0.32,0.15,-0.61,-0.32,-0.02,-0.32,0,"Phylogenetic"
"31",31,-0.3,0.16,-0.61,-0.3,0,-0.3,0,"Phylogenetic"
"32",32,-0.3,0.16,-0.61,-0.3,0.01,-0.3,0,"Phylogenetic"
"33",33,-0.32,0.2,-0.71,-0.32,0.07,-0.32,0,"Phylogenetic"
"34",34,-0.28,0.21,-0.7,-0.28,0.13,-0.28,0,"Phylogenetic"
"35",35,-0.34,0.18,-0.7,-0.34,0.02,-0.34,0,"Phylogenetic"
"36",36,-0.35,0.19,-0.72,-0.35,0.02,-0.35,0,"Phylogenetic"
"37",37,-0.52,0.1,-0.71,-0.52,-0.32,-0.52,0,"Phylogenetic"
"38",38,-0.51,0.1,-0.71,-0.51,-0.31,-0.51,0,"Phylogenetic"
"39",39,-0.5,0.11,-0.71,-0.5,-0.3,-0.5,0,"Phylogenetic"
"40",40,-0.49,0.11,-0.71,-0.49,-0.28,-0.49,0,"Phylogenetic"
"41",41,-0.47,0.12,-0.7,-0.47,-0.23,-0.47,0,"Phylogenetic"
"42",42,-0.46,0.13,-0.72,-0.46,-0.2,-0.46,0,"Phylogenetic"
"43",43,-0.41,0.18,-0.75,-0.41,-0.06,-0.41,0,"Phylogenetic"
"44",44,-0.39,0.19,-0.76,-0.39,-0.03,-0.39,0,"Phylogenetic"
"45",45,-0.31,0.2,-0.69,-0.31,0.08,-0.31,0,"Phylogenetic"
"46",46,-0.25,0.2,-0.64,-0.25,0.15,-0.25,0,"Phylogenetic"
"47",47,-0.48,0.19,-0.85,-0.48,-0.11,-0.48,0,"Phylogenetic"
"48",48,-0.51,0.19,-0.89,-0.51,-0.13,-0.51,0,"Phylogenetic"
"49",49,-0.53,0.2,-0.93,-0.53,-0.13,-0.53,0,"Phylogenetic"
"50",50,-0.37,0.17,-0.71,-0.37,-0.03,-0.37,0,"Phylogenetic"
"51",51,-0.33,0.19,-0.71,-0.33,0.05,-0.33,0,"Phylogenetic"
"52",52,-0.51,0.14,-0.78,-0.51,-0.24,-0.51,0,"Phylogenetic"
"53",53,-0.54,0.19,-0.92,-0.54,-0.16,-0.54,0,"Phylogenetic"
"54",54,-0.57,0.21,-0.99,-0.57,-0.16,-0.57,0,"Phylogenetic"
"55",55,-0.24,0.23,-0.69,-0.24,0.22,-0.24,0,"Phylogenetic"
"56",56,-0.58,0.14,-0.85,-0.58,-0.31,-0.58,0,"Phylogenetic"
"57",57,-0.68,0.17,-1.01,-0.68,-0.35,-0.68,0,"Phylogenetic"
"58",58,-0.73,0.19,-1.1,-0.73,-0.35,-0.72,0,"Phylogenetic"
"59",59,-0.72,0.2,-1.11,-0.72,-0.34,-0.72,0,"Phylogenetic"
"60",60,-0.53,0.23,-0.99,-0.53,-0.08,-0.53,0,"Phylogenetic"
"61",61,-0.49,0.18,-0.85,-0.49,-0.13,-0.49,0,"Phylogenetic"
"62",62,-0.53,0.23,-0.98,-0.53,-0.09,-0.53,0,"Phylogenetic"
"63",63,-0.59,0.11,-0.8,-0.59,-0.37,-0.59,0,"Phylogenetic"
"64",64,-0.63,0.12,-0.86,-0.63,-0.4,-0.63,0,"Phylogenetic"
"65",65,-0.88,0.16,-1.19,-0.88,-0.57,-0.88,0,"Phylogenetic"
"66",66,-0.9,0.17,-1.22,-0.9,-0.57,-0.9,0,"Phylogenetic"
"67",67,-0.94,0.19,-1.32,-0.94,-0.57,-0.94,0,"Phylogenetic"
"68",68,-0.95,0.21,-1.36,-0.95,-0.53,-0.95,0,"Phylogenetic"
"69",69,-1.05,0.21,-1.46,-1.05,-0.64,-1.05,0,"Phylogenetic"
"70",70,-0.6,0.13,-0.86,-0.6,-0.35,-0.6,0,"Phylogenetic"
"71",71,-0.6,0.13,-0.86,-0.6,-0.33,-0.6,0,"Phylogenetic"
"72",72,-0.62,0.16,-0.94,-0.62,-0.3,-0.62,0,"Phylogenetic"
"73",73,-0.58,0.14,-0.85,-0.58,-0.31,-0.58,0,"Phylogenetic"
"74",74,-0.57,0.16,-0.88,-0.57,-0.26,-0.57,0,"Phylogenetic"
"75",75,-0.59,0.17,-0.92,-0.59,-0.26,-0.59,0,"Phylogenetic"
"76",76,-0.59,0.17,-0.93,-0.59,-0.25,-0.59,0,"Phylogenetic"
"77",77,-0.57,0.18,-0.93,-0.57,-0.21,-0.57,0,"Phylogenetic"
"78",78,-0.54,0.16,-0.85,-0.54,-0.23,-0.54,0,"Phylogenetic"
"79",79,-0.51,0.17,-0.84,-0.51,-0.19,-0.51,0,"Phylogenetic"
"80",80,-0.5,0.18,-0.85,-0.5,-0.16,-0.5,0,"Phylogenetic"
"81",81,-0.49,0.19,-0.86,-0.49,-0.11,-0.49,0,"Phylogenetic"
"82",82,-0.5,0.23,-0.95,-0.5,-0.06,-0.5,0,"Phylogenetic"
"83",83,-0.51,0.16,-0.83,-0.51,-0.19,-0.51,0,"Phylogenetic"
"84",84,-0.66,0.13,-0.91,-0.66,-0.4,-0.66,0,"Phylogenetic"
"85",85,-0.73,0.17,-1.06,-0.73,-0.39,-0.73,0,"Phylogenetic"
"86",86,-0.83,0.19,-1.2,-0.83,-0.45,-0.83,0,"Phylogenetic"
"87",87,-0.93,0.2,-1.32,-0.93,-0.53,-0.93,0,"Phylogenetic"
"88",88,-0.97,0.21,-1.38,-0.97,-0.56,-0.97,0,"Phylogenetic"
"89",89,-0.83,0.22,-1.27,-0.83,-0.39,-0.83,0,"Phylogenetic"
"90",90,-0.61,0.08,-0.77,-0.61,-0.44,-0.61,0,"Phylogenetic"
"91",91,-0.61,0.08,-0.78,-0.61,-0.44,-0.61,0,"Phylogenetic"
"92",92,-0.67,0.1,-0.87,-0.67,-0.47,-0.67,0,"Phylogenetic"
"93",93,-0.65,0.12,-0.87,-0.65,-0.42,-0.65,0,"Phylogenetic"
"94",94,-0.66,0.12,-0.9,-0.66,-0.43,-0.66,0,"Phylogenetic"
"95",95,-0.69,0.14,-0.96,-0.69,-0.41,-0.69,0,"Phylogenetic"
"96",96,-0.81,0.17,-1.14,-0.81,-0.47,-0.81,0,"Phylogenetic"
"97",97,-0.85,0.18,-1.19,-0.84,-0.5,-0.84,0,"Phylogenetic"
"98",98,-0.86,0.19,-1.23,-0.86,-0.5,-0.86,0,"Phylogenetic"
"99",99,-0.84,0.19,-1.21,-0.84,-0.46,-0.84,0,"Phylogenetic"
"100",100,-0.58,0.18,-0.94,-0.58,-0.22,-0.58,0,"Phylogenetic"
"101",101,-0.54,0.2,-0.93,-0.54,-0.15,-0.54,0,"Phylogenetic"
"102",102,-0.57,0.21,-0.98,-0.57,-0.17,-0.57,0,"Phylogenetic"
"103",103,-0.69,0.15,-0.98,-0.69,-0.4,-0.69,0,"Phylogenetic"
"104",104,-0.8,0.19,-1.17,-0.8,-0.42,-0.8,0,"Phylogenetic"
"105",105,-0.4,0.17,-0.72,-0.4,-0.07,-0.4,0,"Phylogenetic"
"106",106,-0.37,0.18,-0.72,-0.37,-0.02,-0.37,0,"Phylogenetic"
"107",107,-0.28,0.18,-0.64,-0.28,0.08,-0.28,0,"Phylogenetic"
"108",108,-0.23,0.19,-0.62,-0.23,0.15,-0.23,0,"Phylogenetic"
"109",109,-0.29,0.19,-0.66,-0.29,0.09,-0.29,0,"Phylogenetic"
"110",110,-0.06,0.22,-0.5,-0.06,0.38,-0.06,0,"Phylogenetic"
"111",111,-0.72,0.11,-0.93,-0.72,-0.51,-0.72,0,"Phylogenetic"
"112",112,-0.76,0.11,-0.98,-0.76,-0.54,-0.76,0,"Phylogenetic"
"113",113,-0.77,0.13,-1.02,-0.77,-0.53,-0.77,0,"Phylogenetic"
"114",114,-0.82,0.14,-1.1,-0.82,-0.54,-0.82,0,"Phylogenetic"
"115",115,-0.82,0.15,-1.11,-0.82,-0.54,-0.82,0,"Phylogenetic"
"116",116,-0.94,0.2,-1.33,-0.94,-0.55,-0.94,0,"Phylogenetic"
"117",117,-0.78,0.16,-1.09,-0.78,-0.48,-0.78,0,"Phylogenetic"
"118",118,-0.72,0.18,-1.06,-0.72,-0.37,-0.72,0,"Phylogenetic"
"119",119,-0.71,0.18,-1.06,-0.71,-0.36,-0.71,0,"Phylogenetic"
"120",120,-0.76,0.14,-1.03,-0.76,-0.49,-0.76,0,"Phylogenetic"
"121",121,-0.77,0.15,-1.05,-0.77,-0.48,-0.77,0,"Phylogenetic"
"122",122,-0.92,0.2,-1.3,-0.92,-0.53,-0.92,0,"Phylogenetic"
"123",123,-0.67,0.19,-1.04,-0.67,-0.3,-0.67,0,"Phylogenetic"
"124",124,-0.78,0.12,-1.01,-0.78,-0.55,-0.78,0,"Phylogenetic"
"125",125,-0.78,0.12,-1.01,-0.77,-0.54,-0.77,0,"Phylogenetic"
"126",126,-0.75,0.14,-1.02,-0.75,-0.48,-0.75,0,"Phylogenetic"
"127",127,-0.76,0.19,-1.13,-0.76,-0.38,-0.76,0,"Phylogenetic"
"128",128,-0.77,0.2,-1.15,-0.77,-0.39,-0.77,0,"Phylogenetic"
"129",129,-0.68,0.17,-1.01,-0.68,-0.36,-0.68,0,"Phylogenetic"
