"","mean","sd","0.025quant","0.5quant","0.975quant","mode","model"
"fitted.Predictor.0001...1",1.24,0.4,0.45,1.24,2.02,1.24,"Phylogenetic"
"fitted.Predictor.0002...2",0.81,0.4,0.02,0.81,1.6,0.81,"Phylogenetic"
"fitted.Predictor.0003...3",-1.04,0.4,-1.83,-1.04,-0.25,-1.04,"Phylogenetic"
"fitted.Predictor.0004...4",-0.85,0.4,-1.64,-0.85,-0.06,-0.85,"Phylogenetic"
"fitted.Predictor.0005...5",0.07,0.23,-0.38,0.07,0.51,0.07,"Phylogenetic"
"fitted.Predictor.0006...6",0.07,0.21,-0.35,0.07,0.49,0.07,"Phylogenetic"
"fitted.Predictor.0007...7",0.17,0.21,-0.24,0.17,0.59,0.17,"Phylogenetic"
"fitted.Predictor.0008...8",0.17,0.21,-0.25,0.17,0.59,0.17,"Phylogenetic"
"fitted.Predictor.0009...9",0.22,0.21,-0.19,0.22,0.63,0.22,"Phylogenetic"
"fitted.Predictor.0010...10",0.21,0.21,-0.2,0.21,0.62,0.21,"Phylogenetic"
"fitted.Predictor.0011...11",0.12,0.22,-0.31,0.12,0.55,0.12,"Phylogenetic"
"fitted.Predictor.0012...12",-0.02,0.26,-0.52,-0.02,0.48,-0.02,"Phylogenetic"
"fitted.Predictor.0013...13",-0.05,0.26,-0.56,-0.05,0.47,-0.05,"Phylogenetic"
"fitted.Predictor.0014...14",-0.28,0.23,-0.72,-0.28,0.16,-0.28,"Phylogenetic"
"fitted.Predictor.0015...15",-0.25,0.23,-0.69,-0.25,0.2,-0.25,"Phylogenetic"
"fitted.Predictor.0016...16",-0.38,0.24,-0.86,-0.38,0.1,-0.38,"Phylogenetic"
"fitted.Predictor.0017...17",-0.06,0.27,-0.58,-0.06,0.46,-0.06,"Phylogenetic"
"fitted.Predictor.0018...18",-0.25,0.27,-0.77,-0.25,0.27,-0.25,"Phylogenetic"
"fitted.Predictor.0019...19",-0.4,0.26,-0.9,-0.4,0.1,-0.4,"Phylogenetic"
"fitted.Predictor.0020...20",-0.48,0.26,-0.98,-0.48,0.03,-0.48,"Phylogenetic"
"fitted.Predictor.0021...21",-0.18,0.26,-0.68,-0.18,0.33,-0.18,"Phylogenetic"
"fitted.Predictor.0022...22",-0.27,0.27,-0.8,-0.27,0.27,-0.27,"Phylogenetic"
"fitted.Predictor.0023...23",-0.31,0.26,-0.83,-0.31,0.2,-0.31,"Phylogenetic"
"fitted.Predictor.0024...24",-0.21,0.22,-0.63,-0.21,0.21,-0.21,"Phylogenetic"
"fitted.Predictor.0025...25",-0.21,0.22,-0.63,-0.21,0.21,-0.21,"Phylogenetic"
"fitted.Predictor.0026...26",-0.32,0.23,-0.76,-0.32,0.12,-0.32,"Phylogenetic"
"fitted.Predictor.0027...27",-0.52,0.25,-1.01,-0.52,-0.03,-0.52,"Phylogenetic"
"fitted.Predictor.0028...28",-0.54,0.23,-0.99,-0.54,-0.09,-0.54,"Phylogenetic"
"fitted.Predictor.0029...29",-0.54,0.23,-0.99,-0.54,-0.09,-0.54,"Phylogenetic"
"fitted.Predictor.0030...30",-0.55,0.24,-1.02,-0.55,-0.08,-0.55,"Phylogenetic"
"fitted.Predictor.0031...31",-0.34,0.25,-0.83,-0.34,0.15,-0.34,"Phylogenetic"
"fitted.Predictor.0032...32",-0.4,0.27,-0.92,-0.4,0.13,-0.4,"Phylogenetic"
"fitted.Predictor.0033...33",0,0.27,-0.53,0,0.54,0,"Phylogenetic"
"fitted.Predictor.0034...34",-0.31,0.27,-0.85,-0.31,0.22,-0.31,"Phylogenetic"
"fitted.Predictor.0035...35",-0.66,0.28,-1.21,-0.66,-0.12,-0.66,"Phylogenetic"
"fitted.Predictor.0036...36",-0.61,0.26,-1.12,-0.61,-0.11,-0.61,"Phylogenetic"
"fitted.Predictor.0037...37",-0.59,0.26,-1.09,-0.59,-0.08,-0.59,"Phylogenetic"
"fitted.Predictor.0038...38",-0.46,0.27,-0.98,-0.46,0.06,-0.46,"Phylogenetic"
"fitted.Predictor.0039...39",-0.17,0.26,-0.68,-0.17,0.34,-0.17,"Phylogenetic"
"fitted.Predictor.0040...40",-0.14,0.26,-0.66,-0.14,0.37,-0.14,"Phylogenetic"
"fitted.Predictor.0041...41",-0.83,0.27,-1.36,-0.83,-0.31,-0.83,"Phylogenetic"
"fitted.Predictor.0042...42",-0.83,0.27,-1.36,-0.83,-0.31,-0.83,"Phylogenetic"
"fitted.Predictor.0043...43",-0.82,0.27,-1.34,-0.82,-0.29,-0.82,"Phylogenetic"
"fitted.Predictor.0044...44",-0.76,0.27,-1.29,-0.76,-0.24,-0.76,"Phylogenetic"
"fitted.Predictor.0045...45",-0.44,0.25,-0.93,-0.44,0.05,-0.44,"Phylogenetic"
"fitted.Predictor.0046...46",-0.59,0.25,-1.08,-0.59,-0.1,-0.59,"Phylogenetic"
"fitted.Predictor.0047...47",-0.51,0.26,-1.02,-0.51,0,-0.51,"Phylogenetic"
"fitted.Predictor.0048...48",-0.58,0.26,-1.09,-0.58,-0.06,-0.58,"Phylogenetic"
"fitted.Predictor.0049...49",-0.31,0.28,-0.86,-0.31,0.23,-0.31,"Phylogenetic"
"fitted.Predictor.0050...50",-1.03,0.26,-1.53,-1.02,-0.52,-1.02,"Phylogenetic"
"fitted.Predictor.0051...51",-0.87,0.25,-1.36,-0.87,-0.38,-0.87,"Phylogenetic"
"fitted.Predictor.0052...52",-1.01,0.25,-1.5,-1.01,-0.52,-1.01,"Phylogenetic"
"fitted.Predictor.0053...53",-1.06,0.27,-1.59,-1.06,-0.53,-1.06,"Phylogenetic"
"fitted.Predictor.0054...54",-1.21,0.27,-1.73,-1.21,-0.68,-1.21,"Phylogenetic"
"fitted.Predictor.0055...55",-1.2,0.27,-1.72,-1.2,-0.68,-1.2,"Phylogenetic"
"fitted.Predictor.0056...56",-0.66,0.27,-1.19,-0.66,-0.13,-0.66,"Phylogenetic"
"fitted.Predictor.0057...57",-0.75,0.27,-1.28,-0.75,-0.22,-0.75,"Phylogenetic"
"fitted.Predictor.0058...58",-0.37,0.26,-0.88,-0.37,0.14,-0.37,"Phylogenetic"
"fitted.Predictor.0059...59",-0.69,0.25,-1.18,-0.69,-0.21,-0.69,"Phylogenetic"
"fitted.Predictor.0060...60",-0.56,0.25,-1.04,-0.56,-0.08,-0.56,"Phylogenetic"
"fitted.Predictor.0061...61",-0.45,0.25,-0.93,-0.45,0.04,-0.45,"Phylogenetic"
"fitted.Predictor.0062...62",-0.7,0.25,-1.19,-0.7,-0.2,-0.7,"Phylogenetic"
"fitted.Predictor.0063...63",-0.42,0.25,-0.92,-0.42,0.08,-0.42,"Phylogenetic"
"fitted.Predictor.0064...64",-0.44,0.24,-0.92,-0.44,0.04,-0.44,"Phylogenetic"
"fitted.Predictor.0065...65",-0.46,0.24,-0.94,-0.46,0.02,-0.46,"Phylogenetic"
"fitted.Predictor.0066...66",-0.48,0.25,-0.97,-0.48,0.01,-0.48,"Phylogenetic"
"fitted.Predictor.0067...67",-0.54,0.26,-1.05,-0.54,-0.04,-0.54,"Phylogenetic"
