"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1 speakers (linear)",1.47,1.69,1.95,1851.2,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.28,0.35,0.41,1851.2,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.03,-0.01,0.02,1851.2,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.03,0.08,0.14,1851.2,"L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1.47,1.69,1.95,1851.46,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.28,0.34,0.41,1851.46,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",-0.02,0,0.03,1851.46,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.03,1851.46,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1.46,1.68,1.95,1852.73,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.28,0.35,0.41,1852.73,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",-0.18,-0.02,0.14,1852.73,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,1852.73,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,1852.73,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1.47,1.69,1.95,1853.21,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.28,0.35,0.41,1853.21,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.03,-0.01,0.02,1853.21,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.03,0.08,0.14,1853.21,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.38,-0.04,0.3,1853.21,"L2 proportion"
"Phylogenetic+Spatial: local+Neighbours",1.46,1.68,1.94,1874.51,"phylogenetic SD"
"Phylogenetic+Spatial: local+Neighbours",0.28,0.34,0.41,1874.51,"spatial SD"
"Phylogenetic+Spatial: local+Neighbours",-0.02,0,0.02,1874.51,"Intercept"
"Phylogenetic+Spatial: local+Neighbours",-0.01,0.02,0.05,1874.51,"Neighbours"
"Phylogenetic+Spatial: local+Official",1.43,1.65,1.91,1878,"phylogenetic SD"
"Phylogenetic+Spatial: local+Official",0.29,0.35,0.42,1878,"spatial SD"
"Phylogenetic+Spatial: local+Official",-0.03,-0.01,0.02,1878,"Intercept"
"Phylogenetic+Spatial: local+Official",-0.01,0.16,0.32,1878,"Official status"
"Phylogenetic+Spatial: local+L2 proportion (linear)",1.45,1.67,1.93,1879.37,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.28,0.34,0.41,1879.37,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.02,0,0.03,1879.37,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.36,-0.02,0.33,1879.37,"L2 proportion"
"Phylogenetic+Spatial: local+Education",1.44,1.66,1.92,1879.43,"phylogenetic SD"
"Phylogenetic+Spatial: local+Education",0.29,0.35,0.41,1879.43,"spatial SD"
"Phylogenetic+Spatial: local+Education",-0.03,-0.01,0.02,1879.43,"Intercept"
"Phylogenetic+Spatial: local+Education",0,0.14,0.28,1879.43,"Education"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",1.44,1.66,1.92,1879.9,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",0.29,0.35,0.41,1879.9,"spatial SD"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",-0.03,0,0.02,1879.9,"Intercept"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",-0.03,0.03,0.1,1879.9,"L1*L2 proportion"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",1.45,1.67,1.93,1880.14,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.28,0.35,0.41,1880.14,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",-0.17,-0.01,0.16,1880.14,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0,0.01,0.05,1880.14,"social SD:
L2 proportion"
