"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.92,1.21,1.58,3205.37,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.35,0.43,0.53,3205.37,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",-0.01,0.03,0.07,3205.37,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.01,0.06,0.25,3205.37,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.92,1.22,1.59,3214.27,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.35,0.44,0.53,3214.27,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.03,0.01,0.05,3214.27,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.05,0.13,0.2,3214.27,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.91,1.22,1.59,3216.08,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.35,0.44,0.53,3216.08,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.03,0.01,0.05,3216.08,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.05,0.13,0.2,3216.08,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.54,-0.02,0.5,3216.08,"L2 proportion"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.91,1.21,1.58,3217.42,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.35,0.43,0.53,3217.42,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",-0.24,0.01,0.26,3217.42,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,3217.42,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,3217.42,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+Neighbours",0.83,1.14,1.5,3236.55,"phylogenetic SD"
"Phylogenetic+Spatial: local+Neighbours",0.37,0.45,0.54,3236.55,"spatial SD"
"Phylogenetic+Spatial: local+Neighbours",-0.01,0.03,0.07,3236.55,"Intercept"
"Phylogenetic+Spatial: local+Neighbours",-0.04,0.01,0.05,3236.55,"Neighbours"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.82,1.13,1.49,3238.63,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.37,0.45,0.54,3238.63,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.01,0.03,0.07,3238.63,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.49,0.03,0.56,3238.63,"L2 proportion"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",0.82,1.12,1.49,3238.68,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",0.37,0.45,0.54,3238.68,"spatial SD"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",-0.02,0.03,0.07,3238.68,"Intercept"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",-0.08,0.03,0.13,3238.68,"L1*L2 proportion"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.82,1.13,1.49,3238.79,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.37,0.45,0.54,3238.79,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",-0.22,0.03,0.28,3238.79,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0,0.01,0.03,3238.79,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+Education",0.79,1.1,1.46,3241.52,"phylogenetic SD"
"Phylogenetic+Spatial: local+Education",0.36,0.44,0.54,3241.52,"spatial SD"
"Phylogenetic+Spatial: local+Education",-0.03,0.01,0.06,3241.52,"Intercept"
"Phylogenetic+Spatial: local+Education",-0.01,0.19,0.39,3241.52,"Education"
"Phylogenetic+Spatial: local+Official",0.77,1.08,1.44,3242.53,"phylogenetic SD"
"Phylogenetic+Spatial: local+Official",0.37,0.44,0.55,3242.53,"spatial SD"
"Phylogenetic+Spatial: local+Official",-0.03,0.02,0.06,3242.53,"Intercept"
"Phylogenetic+Spatial: local+Official",-0.01,0.23,0.46,3242.53,"Official status"
