"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1 speakers (linear)",1.04,1.35,1.73,3198.98,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.35,0.43,0.53,3198.98,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.03,0.01,0.05,3198.98,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.05,0.13,0.21,3198.98,"L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1.04,1.35,1.72,3199.7,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.35,0.43,0.53,3199.7,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",-0.01,0.03,0.07,3199.7,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.03,3199.7,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",1.04,1.35,1.72,3200.89,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.35,0.43,0.53,3200.89,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.03,0.01,0.05,3200.89,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.05,0.13,0.21,3200.89,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.54,-0.02,0.5,3200.89,"L2 proportion"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",1.03,1.35,1.72,3202,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.34,0.43,0.53,3202,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",-0.24,0.01,0.25,3202,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,3202,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,3202,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+Neighbours",0.95,1.27,1.64,3220.92,"phylogenetic SD"
"Phylogenetic+Spatial: local+Neighbours",0.36,0.44,0.54,3220.92,"spatial SD"
"Phylogenetic+Spatial: local+Neighbours",-0.01,0.03,0.07,3220.92,"Intercept"
"Phylogenetic+Spatial: local+Neighbours",-0.04,0.01,0.06,3220.92,"Neighbours"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",0.94,1.25,1.63,3222.78,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",0.36,0.44,0.54,3222.78,"spatial SD"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",-0.01,0.03,0.07,3222.78,"Intercept"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",-0.08,0.03,0.13,3222.78,"L1*L2 proportion"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.94,1.26,1.63,3223.07,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.36,0.44,0.54,3223.07,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.01,0.03,0.07,3223.07,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.49,0.03,0.55,3223.07,"L2 proportion"
"Phylogenetic+Spatial: local+Education",0.92,1.23,1.61,3224.39,"phylogenetic SD"
"Phylogenetic+Spatial: local+Education",0.36,0.44,0.54,3224.39,"spatial SD"
"Phylogenetic+Spatial: local+Education",-0.03,0.01,0.06,3224.39,"Intercept"
"Phylogenetic+Spatial: local+Education",-0.02,0.18,0.39,3224.39,"Education"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.93,1.24,1.63,3224.41,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.36,0.44,0.54,3224.41,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",-0.22,0.03,0.28,3224.41,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0,0.01,0.03,3224.41,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+Official",0.9,1.21,1.59,3225.27,"phylogenetic SD"
"Phylogenetic+Spatial: local+Official",0.36,0.44,0.54,3225.27,"spatial SD"
"Phylogenetic+Spatial: local+Official",-0.03,0.02,0.06,3225.27,"Intercept"
"Phylogenetic+Spatial: local+Official",-0.02,0.22,0.45,3225.27,"Official status"
