"","mean","sd","0.025quant","0.5quant","0.975quant","mode","model"
"fitted.Predictor.0001...1",1.3,0.67,-0.01,1.3,2.62,1.31,"Phylogenetic"
"fitted.Predictor.0002...2",0.14,0.67,-1.17,0.14,1.45,0.14,"Phylogenetic"
"fitted.Predictor.0003...3",-0.45,0.67,-1.77,-0.45,0.87,-0.45,"Phylogenetic"
"fitted.Predictor.0004...4",-0.98,0.68,-2.3,-0.98,0.35,-0.98,"Phylogenetic"
"fitted.Predictor.0005...5",-0.27,0.25,-0.76,-0.27,0.22,-0.27,"Phylogenetic"
"fitted.Predictor.0006...6",-0.32,0.25,-0.81,-0.32,0.16,-0.32,"Phylogenetic"
"fitted.Predictor.0007...7",-0.29,0.24,-0.77,-0.29,0.19,-0.29,"Phylogenetic"
"fitted.Predictor.0008...8",-0.3,0.24,-0.78,-0.29,0.18,-0.29,"Phylogenetic"
"fitted.Predictor.0009...9",-0.22,0.24,-0.7,-0.22,0.26,-0.22,"Phylogenetic"
"fitted.Predictor.0010...10",-0.21,0.24,-0.69,-0.21,0.27,-0.21,"Phylogenetic"
"fitted.Predictor.0011...11",-0.25,0.25,-0.73,-0.25,0.24,-0.25,"Phylogenetic"
"fitted.Predictor.0012...12",-0.18,0.27,-0.71,-0.18,0.35,-0.18,"Phylogenetic"
"fitted.Predictor.0013...13",-0.17,0.28,-0.72,-0.17,0.37,-0.17,"Phylogenetic"
"fitted.Predictor.0014...14",-0.24,0.26,-0.76,-0.24,0.27,-0.24,"Phylogenetic"
"fitted.Predictor.0015...15",-0.25,0.26,-0.76,-0.25,0.26,-0.25,"Phylogenetic"
"fitted.Predictor.0016...16",-0.34,0.27,-0.87,-0.34,0.18,-0.34,"Phylogenetic"
"fitted.Predictor.0017...17",-0.25,0.28,-0.8,-0.25,0.3,-0.24,"Phylogenetic"
"fitted.Predictor.0018...18",-0.16,0.28,-0.71,-0.16,0.4,-0.16,"Phylogenetic"
"fitted.Predictor.0019...19",-0.44,0.28,-0.99,-0.44,0.1,-0.43,"Phylogenetic"
"fitted.Predictor.0020...20",-0.43,0.28,-0.98,-0.43,0.11,-0.42,"Phylogenetic"
"fitted.Predictor.0021...21",-0.32,0.28,-0.86,-0.32,0.22,-0.31,"Phylogenetic"
"fitted.Predictor.0022...22",-0.33,0.29,-0.9,-0.33,0.23,-0.33,"Phylogenetic"
"fitted.Predictor.0023...23",-0.03,0.28,-0.58,-0.04,0.52,-0.04,"Phylogenetic"
"fitted.Predictor.0024...24",0.01,0.25,-0.49,0.01,0.51,0.01,"Phylogenetic"
"fitted.Predictor.0025...25",0.01,0.25,-0.49,0.01,0.51,0.01,"Phylogenetic"
"fitted.Predictor.0026...26",-0.04,0.26,-0.54,-0.04,0.47,-0.04,"Phylogenetic"
"fitted.Predictor.0027...27",-0.13,0.27,-0.67,-0.13,0.39,-0.13,"Phylogenetic"
"fitted.Predictor.0028...28",0,0.26,-0.51,0,0.52,0,"Phylogenetic"
