"","mean","sd","0.025quant","0.5quant","0.975quant","mode","model"
"fitted.Predictor.001...1",1.24,0.28,0.64,1.26,1.75,1.3,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.002...2",0.38,0.26,-0.17,0.39,0.88,0.4,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.003...3",-0.42,0.26,-0.92,-0.42,0.12,-0.43,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.004...4",-0.67,0.26,-1.17,-0.68,-0.11,-0.7,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.005...5",-1.27,0.28,-1.77,-1.29,-0.66,-1.33,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.006...6",-0.18,0.26,-0.69,-0.18,0.35,-0.18,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.007...7",-0.04,0.26,-0.57,-0.04,0.47,-0.04,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.008...8",-0.3,0.26,-0.81,-0.3,0.23,-0.31,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.009...9",0.21,0.26,-0.33,0.21,0.71,0.23,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.010...10",-1.38,0.28,-1.88,-1.4,-0.75,-1.45,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.011...11",0.42,0.26,-0.12,0.43,0.92,0.44,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.012...12",0.13,0.26,-0.4,0.14,0.64,0.14,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.013...13",-0.29,0.26,-0.8,-0.29,0.24,-0.3,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.014...14",0.54,0.26,0.02,0.54,1.05,0.54,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.015...15",1.24,0.27,0.66,1.25,1.73,1.28,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.016...16",0.74,0.17,0.38,0.75,1.06,0.76,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.017...17",0.74,0.16,0.4,0.75,1.05,0.75,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.018...18",-0.03,0.21,-0.41,-0.04,0.42,-0.06,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.019...19",0.16,0.14,-0.13,0.16,0.44,0.17,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.020...20",-0.22,0.19,-0.56,-0.22,0.17,-0.24,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.021...21",-0.04,0.17,-0.36,-0.04,0.29,-0.05,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"fitted.Predictor.022...22",0.32,0.18,-0.03,0.32,0.68,0.32,"Phylogenetic+Spatial: local+L1 speakers (linear)"
