"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1.55,1.77,2.04,1789.3,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.27,0.34,0.4,1789.3,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",-0.02,0,0.03,1789.3,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.03,1789.3,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)",1.55,1.77,2.04,1790.71,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.27,0.34,0.4,1790.71,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.02,0,0.02,1790.71,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.03,0.07,0.12,1790.71,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",1.55,1.77,2.04,1792.96,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",0.27,0.34,0.4,1792.96,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",-0.04,-0.01,0.02,1792.96,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",0.01,0.06,0.11,1792.96,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",-0.04,0.09,0.21,1792.96,"Vehicularity"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",1.54,1.76,2.03,1809.09,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",0.27,0.33,0.4,1809.09,"spatial SD"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",-0.04,-0.01,0.01,1809.09,"Intercept"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",0.01,0.02,0.04,1809.09,"L1*Vehicularity"
"Phylogenetic+Spatial: local+Vehicularity",1.54,1.76,2.03,1809.27,"phylogenetic SD"
"Phylogenetic+Spatial: local+Vehicularity",0.27,0.33,0.4,1809.27,"spatial SD"
"Phylogenetic+Spatial: local+Vehicularity",-0.04,-0.01,0.01,1809.27,"Intercept"
"Phylogenetic+Spatial: local+Vehicularity",0.03,0.14,0.26,1809.27,"Vehicularity"
"Phylogenetic+Spatial: local+Neighbours",1.54,1.76,2.03,1813.1,"phylogenetic SD"
"Phylogenetic+Spatial: local+Neighbours",0.27,0.34,0.4,1813.1,"spatial SD"
"Phylogenetic+Spatial: local+Neighbours",-0.03,0,0.02,1813.1,"Intercept"
"Phylogenetic+Spatial: local+Neighbours",-0.01,0.02,0.05,1813.1,"Neighbours"
"Phylogenetic+Spatial: local+Official",1.52,1.74,2.01,1815.02,"phylogenetic SD"
"Phylogenetic+Spatial: local+Official",0.28,0.34,0.41,1815.02,"spatial SD"
"Phylogenetic+Spatial: local+Official",-0.03,-0.01,0.02,1815.02,"Intercept"
"Phylogenetic+Spatial: local+Official",0.01,0.17,0.34,1815.02,"Official status"
"Phylogenetic+Spatial: local+Education",1.52,1.74,2.02,1815.94,"phylogenetic SD"
"Phylogenetic+Spatial: local+Education",0.28,0.34,0.41,1815.94,"spatial SD"
"Phylogenetic+Spatial: local+Education",-0.04,-0.01,0.01,1815.94,"Intercept"
"Phylogenetic+Spatial: local+Education",0.01,0.15,0.29,1815.94,"Education"
