"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",0.98,1.3,1.68,3120.98,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",0.35,0.44,0.53,3120.98,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",-0.04,0,0.04,3120.98,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",-0.02,0.06,0.13,3120.98,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",0.12,0.31,0.49,3120.98,"Vehicularity"
"Phylogenetic+Spatial: local+L1 speakers (linear)",1.03,1.35,1.73,3125.07,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.35,0.43,0.53,3125.07,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.01,0.03,0.07,3125.07,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.04,0.11,0.17,3125.07,"L1"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",0.95,1.27,1.64,3127.34,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",0.36,0.44,0.54,3127.34,"spatial SD"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",-0.05,0,0.04,3127.34,"Intercept"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",0.03,0.06,0.09,3127.34,"L1*Vehicularity"
"Phylogenetic+Spatial: local+Vehicularity",0.94,1.25,1.62,3128.16,"phylogenetic SD"
"Phylogenetic+Spatial: local+Vehicularity",0.36,0.44,0.54,3128.16,"spatial SD"
"Phylogenetic+Spatial: local+Vehicularity",-0.05,0,0.04,3128.16,"Intercept"
"Phylogenetic+Spatial: local+Vehicularity",0.19,0.36,0.53,3128.16,"Vehicularity"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1.02,1.32,1.73,3128.37,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.35,0.43,0.53,3128.37,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.04,0.08,3128.37,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.03,3128.37,"social SD:
L1"
"Phylogenetic+Spatial: local+Neighbours",0.95,1.27,1.64,3144.52,"phylogenetic SD"
"Phylogenetic+Spatial: local+Neighbours",0.36,0.44,0.54,3144.52,"spatial SD"
"Phylogenetic+Spatial: local+Neighbours",-0.01,0.03,0.07,3144.52,"Intercept"
"Phylogenetic+Spatial: local+Neighbours",-0.04,0.01,0.06,3144.52,"Neighbours"
"Phylogenetic+Spatial: local+Education",0.91,1.25,1.61,3147.45,"phylogenetic SD"
"Phylogenetic+Spatial: local+Education",0.36,0.44,0.54,3147.45,"spatial SD"
"Phylogenetic+Spatial: local+Education",-0.02,0.02,0.06,3147.45,"Intercept"
"Phylogenetic+Spatial: local+Education",-0.03,0.17,0.38,3147.45,"Education"
"Phylogenetic+Spatial: local+Official",0.89,1.23,1.59,3148.42,"phylogenetic SD"
"Phylogenetic+Spatial: local+Official",0.36,0.44,0.55,3148.42,"spatial SD"
"Phylogenetic+Spatial: local+Official",-0.02,0.02,0.06,3148.42,"Intercept"
"Phylogenetic+Spatial: local+Official",-0.03,0.2,0.44,3148.42,"Official status"
