"","mean","sd","0.025quant","0.5quant","0.975quant","mode","model"
"fitted.Predictor.001...1",0.74,0.41,0,0.71,1.6,0.66,"Phylogenetic"
"fitted.Predictor.002...2",-0.13,0.2,-0.54,-0.13,0.26,-0.13,"Phylogenetic"
"fitted.Predictor.003...3",-0.15,0.21,-0.56,-0.15,0.25,-0.14,"Phylogenetic"
"fitted.Predictor.004...4",-0.15,0.21,-0.57,-0.15,0.24,-0.15,"Phylogenetic"
"fitted.Predictor.005...5",-0.17,0.21,-0.59,-0.16,0.24,-0.16,"Phylogenetic"
"fitted.Predictor.006...6",-0.15,0.21,-0.57,-0.15,0.24,-0.15,"Phylogenetic"
"fitted.Predictor.007...7",-0.14,0.2,-0.55,-0.14,0.25,-0.14,"Phylogenetic"
"fitted.Predictor.008...8",-0.15,0.21,-0.56,-0.14,0.25,-0.14,"Phylogenetic"
"fitted.Predictor.009...9",-0.13,0.2,-0.54,-0.13,0.26,-0.13,"Phylogenetic"
"fitted.Predictor.010...10",-0.17,0.21,-0.6,-0.16,0.24,-0.16,"Phylogenetic"
"fitted.Predictor.011...11",-0.13,0.2,-0.54,-0.13,0.26,-0.12,"Phylogenetic"
"fitted.Predictor.012...12",-0.13,0.21,-0.55,-0.13,0.26,-0.13,"Phylogenetic"
"fitted.Predictor.013...13",-0.14,0.21,-0.56,-0.14,0.25,-0.14,"Phylogenetic"
"fitted.Predictor.014...14",0.28,0.16,-0.04,0.28,0.6,0.28,"Phylogenetic"
"fitted.Predictor.015...15",0.31,0.16,0,0.31,0.63,0.3,"Phylogenetic"
"fitted.Predictor.016...16",0.3,0.14,0.04,0.3,0.57,0.3,"Phylogenetic"
"fitted.Predictor.017...17",0.3,0.13,0.04,0.3,0.57,0.3,"Phylogenetic"
"fitted.Predictor.018...18",0.3,0.13,0.03,0.3,0.56,0.3,"Phylogenetic"
"fitted.Predictor.019...19",0.29,0.13,0.03,0.29,0.55,0.29,"Phylogenetic"
"fitted.Predictor.020...20",0.29,0.13,0.03,0.29,0.55,0.29,"Phylogenetic"
"fitted.Predictor.021...21",0.29,0.13,0.03,0.29,0.55,0.29,"Phylogenetic"
"fitted.Predictor.022...22",0.29,0.13,0.03,0.29,0.56,0.29,"Phylogenetic"
"fitted.Predictor.023...23",0.29,0.13,0.03,0.29,0.56,0.29,"Phylogenetic"
"fitted.Predictor.024...24",0.3,0.13,0.04,0.3,0.56,0.3,"Phylogenetic"
"fitted.Predictor.025...25",0.3,0.13,0.04,0.3,0.57,0.3,"Phylogenetic"
"fitted.Predictor.026...26",0.31,0.14,0.05,0.31,0.59,0.31,"Phylogenetic"
"fitted.Predictor.027...27",0.31,0.14,0.05,0.31,0.58,0.31,"Phylogenetic"
"fitted.Predictor.028...28",0.31,0.14,0.05,0.31,0.58,0.31,"Phylogenetic"
"fitted.Predictor.029...29",0.31,0.14,0.04,0.31,0.58,0.31,"Phylogenetic"
"fitted.Predictor.030...30",0.29,0.14,0.02,0.29,0.56,0.29,"Phylogenetic"
"fitted.Predictor.031...31",0.29,0.14,0.02,0.29,0.56,0.29,"Phylogenetic"
