"model","2.5%","50%","97.5%","WAIC","effect"
"L1 speakers (linear)+Vehicularity",-0.06,-0.01,0.05,3642.42,"Intercept"
"L1 speakers (linear)+Vehicularity",-0.15,-0.09,-0.02,3642.42,"L1"
"L1 speakers (linear)+Vehicularity",0.18,0.38,0.58,3642.42,"Vehicularity"
"Official",-0.04,0.01,0.07,3645.36,"Intercept"
"Official",0.15,0.39,0.62,3645.36,"Official status"
"Education",-0.05,0.01,0.06,3646.32,"Intercept"
"Education",0.11,0.31,0.51,3646.32,"Education"
"Vehicularity",-0.05,0.01,0.06,3647.35,"Intercept"
"Vehicularity",0.08,0.26,0.43,3647.35,"Vehicularity"
"L1_log10:Vehicularity",-0.05,0.01,0.07,3648.47,"Intercept"
"L1_log10:Vehicularity",0.01,0.04,0.07,3648.47,"L1*Vehicularity"
"Neighbours",-0.02,0.04,0.09,3649.32,"Intercept"
"Neighbours",-0.1,-0.06,-0.01,3649.32,"Neighbours"
"L1 speakers (nonlinear)",-0.02,0.04,0.12,3652.78,"Intercept"
"L1 speakers (nonlinear)",0,0.01,0.05,3652.78,"social SD:
L1"
"L1 speakers (linear)",-0.02,0.03,0.09,3654.32,"Intercept"
"L1 speakers (linear)",-0.09,-0.03,0.03,3654.32,"L1"
