"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",0.96,1.28,1.65,3124.09,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",0.35,0.43,0.53,3124.09,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",-0.04,0,0.04,3124.09,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",-0.02,0.05,0.13,3124.09,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",0.12,0.31,0.49,3124.09,"Vehicularity"
"Phylogenetic+Spatial: local+L1 speakers (linear)",1.02,1.33,1.71,3127.38,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.35,0.43,0.53,3127.38,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.01,0.03,0.07,3127.38,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.04,0.1,0.17,3127.38,"L1"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",0.93,1.24,1.62,3130.25,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",0.36,0.44,0.54,3130.25,"spatial SD"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",-0.05,0,0.04,3130.25,"Intercept"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",0.03,0.06,0.09,3130.25,"L1*Vehicularity"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1.01,1.33,1.7,3130.36,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.35,0.43,0.53,3130.36,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.04,0.08,3130.36,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.04,3130.36,"social SD:
L1"
"Phylogenetic+Spatial: local+Vehicularity",0.92,1.23,1.6,3131.01,"phylogenetic SD"
"Phylogenetic+Spatial: local+Vehicularity",0.36,0.44,0.54,3131.01,"spatial SD"
"Phylogenetic+Spatial: local+Vehicularity",-0.05,0,0.04,3131.01,"Intercept"
"Phylogenetic+Spatial: local+Vehicularity",0.19,0.36,0.53,3131.01,"Vehicularity"
"Phylogenetic+Spatial: local+Neighbours",0.92,1.27,1.63,3146.25,"phylogenetic SD"
"Phylogenetic+Spatial: local+Neighbours",0.36,0.44,0.54,3146.25,"spatial SD"
"Phylogenetic+Spatial: local+Neighbours",-0.01,0.03,0.07,3146.25,"Intercept"
"Phylogenetic+Spatial: local+Neighbours",-0.04,0.01,0.06,3146.25,"Neighbours"
"Phylogenetic+Spatial: local+Education",0.9,1.21,1.59,3150.27,"phylogenetic SD"
"Phylogenetic+Spatial: local+Education",0.36,0.44,0.54,3150.27,"spatial SD"
"Phylogenetic+Spatial: local+Education",-0.02,0.02,0.06,3150.27,"Intercept"
"Phylogenetic+Spatial: local+Education",-0.03,0.18,0.38,3150.27,"Education"
"Phylogenetic+Spatial: local+Official",0.88,1.2,1.57,3150.94,"phylogenetic SD"
"Phylogenetic+Spatial: local+Official",0.37,0.45,0.54,3150.94,"spatial SD"
"Phylogenetic+Spatial: local+Official",-0.02,0.02,0.06,3150.94,"Intercept"
"Phylogenetic+Spatial: local+Official",-0.03,0.21,0.44,3150.94,"Official status"
