"model","2.5%","50%","97.5%","WAIC","effect"
"L1 speakers (linear)",0.27,0.41,0.54,272.91,"Intercept"
"L1 speakers (linear)",-0.01,0.16,0.32,272.91,"L1"
"L1 speakers (nonlinear)",0.22,0.36,0.51,272.95,"Intercept"
"L1 speakers (nonlinear)",0,0.01,0.03,272.95,"social SD:
L1"
"L1 speakers (linear)+L2 proportion (linear)",0.22,0.4,0.58,275.12,"Intercept"
"L1 speakers (linear)+L2 proportion (linear)",-0.01,0.16,0.32,275.12,"L1"
"L1 speakers (linear)+L2 proportion (linear)",-0.54,0.04,0.62,275.12,"L2 proportion"
"L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.17,0.37,0.58,275.55,"Intercept"
"L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.02,275.55,"social SD:
L1"
"L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.02,275.55,"social SD:
L2 proportion"
"L1_log10:L2 proportion (linear)",0.17,0.35,0.53,275.84,"Intercept"
"L1_log10:L2 proportion (linear)",-0.05,0.05,0.16,275.84,"L1*L2 proportion"
"L2 proportion (nonlinear)",0.22,0.42,0.62,276.26,"Intercept"
"L2 proportion (nonlinear)",0,0.01,0.03,276.26,"social SD:
L2 proportion"
"L2 proportion (linear)",0.21,0.39,0.57,276.5,"Intercept"
"L2 proportion (linear)",-0.51,0.07,0.66,276.5,"L2 proportion"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",0.03,0.22,1.08,283.05,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",0.19,0.45,0.86,283.05,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.03,0.22,1.04,283.15,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.19,0.46,0.85,283.15,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.04,0.24,1,284.2,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.18,0.44,0.86,284.2,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.03,0.22,1.13,284.44,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.17,0.44,0.88,284.44,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.04,0.24,1.03,284.81,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.16,0.43,0.86,284.81,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.03,0.22,0.98,285.08,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.18,0.45,0.86,285.08,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.03,0.23,1.05,285.98,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.18,0.44,0.85,285.98,"spatial SD"
