"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",0.03,0.22,1.08,283.05,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",0.19,0.45,0.86,283.05,"spatial SD"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",-0.1,0.09,0.28,283.05,"Intercept"
"Phylogenetic+Spatial: local+L1_log10:L2 proportion (linear)",-0.08,0.06,0.19,283.05,"L1*L2 proportion"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.03,0.22,1.04,283.15,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",0.19,0.46,0.85,283.15,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.09,0.1,0.29,283.15,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (linear)",-0.46,0.25,0.96,283.15,"L2 proportion"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.04,0.24,1,284.2,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.18,0.44,0.86,284.2,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.02,0.15,0.28,284.2,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.25,-0.04,0.17,284.2,"L1"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.03,0.22,1.13,284.44,"phylogenetic SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0.17,0.44,0.88,284.44,"spatial SD"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",-0.01,0.21,0.42,284.44,"Intercept"
"Phylogenetic+Spatial: local+L2 proportion (nonlinear)",0,0.01,0.03,284.44,"social SD:
L2 proportion"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.04,0.24,1.03,284.81,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.16,0.43,0.86,284.81,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.03,0.16,0.3,284.81,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.03,284.81,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.03,0.22,0.98,285.08,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",0.18,0.45,0.86,285.08,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.09,0.1,0.29,285.08,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.25,-0.04,0.18,285.08,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)",-0.47,0.24,0.95,285.08,"L2 proportion"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.03,0.23,1.05,285.98,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0.18,0.44,0.85,285.98,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.22,0.44,285.98,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.03,285.98,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)",0,0.01,0.02,285.98,"social SD:
L2 proportion"
