"model","2.5%","50%","97.5%","WAIC","effect"
"Phylogenetic+Spatial: local+L1 speakers (linear)",1.5,1.72,1.99,1804.23,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.28,0.34,0.41,1804.23,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)",-0.02,0,0.02,1804.23,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)",0.03,0.07,0.12,1804.23,"L1"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",1.5,1.72,1.99,1804.98,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0.28,0.34,0.41,1804.98,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",-0.02,0,0.03,1804.98,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (nonlinear)",0,0.01,0.03,1804.98,"social SD:
L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",1.5,1.72,1.99,1806.76,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",0.28,0.34,0.41,1806.76,"spatial SD"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",-0.04,-0.01,0.02,1806.76,"Intercept"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",0.01,0.06,0.11,1806.76,"L1"
"Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity",-0.03,0.09,0.21,1806.76,"Vehicularity"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",1.49,1.71,1.98,1822.47,"phylogenetic SD"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",0.28,0.34,0.41,1822.47,"spatial SD"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",-0.04,-0.01,0.01,1822.47,"Intercept"
"Phylogenetic+Spatial: local+L1_log10:Vehicularity",0.01,0.02,0.04,1822.47,"L1*Vehicularity"
"Phylogenetic+Spatial: local+Vehicularity",1.49,1.71,1.98,1822.64,"phylogenetic SD"
"Phylogenetic+Spatial: local+Vehicularity",0.28,0.34,0.41,1822.64,"spatial SD"
"Phylogenetic+Spatial: local+Vehicularity",-0.04,-0.01,0.01,1822.64,"Intercept"
"Phylogenetic+Spatial: local+Vehicularity",0.03,0.14,0.26,1822.64,"Vehicularity"
"Phylogenetic+Spatial: local+Neighbours",1.49,1.71,1.98,1826.06,"phylogenetic SD"
"Phylogenetic+Spatial: local+Neighbours",0.28,0.34,0.41,1826.06,"spatial SD"
"Phylogenetic+Spatial: local+Neighbours",-0.03,0,0.02,1826.06,"Intercept"
"Phylogenetic+Spatial: local+Neighbours",-0.01,0.02,0.05,1826.06,"Neighbours"
"Phylogenetic+Spatial: local+Official",1.47,1.69,1.95,1827.5,"phylogenetic SD"
"Phylogenetic+Spatial: local+Official",0.28,0.34,0.41,1827.5,"spatial SD"
"Phylogenetic+Spatial: local+Official",-0.03,-0.01,0.02,1827.5,"Intercept"
"Phylogenetic+Spatial: local+Official",0.01,0.18,0.34,1827.5,"Official status"
"Phylogenetic+Spatial: local+Education",1.48,1.69,1.96,1828.97,"phylogenetic SD"
"Phylogenetic+Spatial: local+Education",0.28,0.34,0.41,1828.97,"spatial SD"
"Phylogenetic+Spatial: local+Education",-0.04,-0.01,0.01,1828.97,"Intercept"
"Phylogenetic+Spatial: local+Education",0.01,0.15,0.29,1828.97,"Education"
